"","Gene","No..isolates"
"1","espl",2
"2","group_1225",1461
"3","group_1422",194
"4","group_1887",19
"5","group_2136",1
"6","group_2661",1451
"7","group_3061",1427
"8","group_3063",1307
"9","group_3072",156
"10","group_3073",2
"11","group_3074",7
"12","group_3099",4
"13","group_3114",77
"14","group_3375",194
"15","group_3423",2
"16","group_3514",11
"17","group_3522",1460
"18","group_3540",1
"19","group_3550",5
"20","group_3558",2
"21","group_3588",2
"22","group_3589",2
"23","group_3590",2
"24","group_3592",2
"25","group_3596",12
"26","group_3598",3
"27","group_3605",4
"28","group_3610",2
"29","group_3611",4
"30","group_3613",2
"31","group_3616",3
"32","group_3619",2
"33","group_3621",3
"34","group_44",4
"35","pks12~~~~~~pks1_2",1463
"36","recC",206
