"","Gene","No..isolates"
"1","group_2318",174
"2","group_1666",174
"3","group_1664",174
"4","mshD",174
"5","group_42",174
"6","group_1659",174
"7","group_1658",174
"8","group_1657",174
"9","group_1655",143
"10","group_1653",143
"11","group_1652",143
"12","group_1651",138
"13","tadA_2",138
"14","group_1650",70
"15","group_1648",27
"16","group_37",1326
"17","kmtr",1326
"18","group_39",1326
"19","group_1654",1321
"20","group_1656",1321
"21","dus_1~~~dus_2",1290
"22","tagU",1290
"23","group_1660",1290
"24","group_1662",1290
"25","group_1663",1290
"26","group_1665",1290
"27","group_2314",1290
"28","group_43",1290
"29","group_3604",10
"30","mmpS3_2",6
"31","group_847",1234
"32","PPE37",1212
"33","hisE",1212
"34","group_2857",1212
"35","group_1528",1212
"36","group_1526",1212
"37","group_2856",1212
"38","group_1523",1212
"39","group_1521",1212
"40","mpa",1212
"41","group_1518",1212
"42","group_507",1212
"43","group_2855",1213
"44","pup",1213
"45","prcB",1213
"46","prcA",1213
"47","PPE36_1~~~~~~PPE36_2~~~PPE36",1213
"48","PE22",1213
"49","group_1510",1213
"50","vapb37",1213
"51","vapc37",1212
"52","group_1505",1212
"53","group_574",1213
"54","group_829",1215
"55","pe21_1~~~PE_PGRS31~~~PE_PGRS23~~~PE_PGRS23_2~~~PE_PGRS31_2~~~PE_PGRS30~~~pe21",1099
"56","group_3079",1
"57","group_3539",3
"58","group_3444",6
"59","pknJ",8
"60","group_3446",46
"61","group_3447",46
"62","helY",46
"63","group_3448",46
"64","group_3449",46
"65","pafc",48
"66","group_3450",47
"67","pafa",40
"68","pe21~~~pe21_2~~~pe21_1~~~pafA_1",566
"69","group_1219",251
"70","group_1506",250
"71","group_1507",250
"72","group_1508",250
"73","group_1509",250
"74","group_1511",249
"75","group_1512",250
"76","PPE36",250
"77","group_2854",250
"78","group_1515",250
"79","group_1516",250
"80","dop",250
"81","group_1517",251
"82","group_1519",251
"83","group_1520",251
"84","group_1522",251
"85","group_1524",251
"86","group_1525",251
"87","group_1527",251
"88","group_1529",251
"89","hisG",251
"90","group_1531",251
"91","group_1533",251
"92","group_1536",271
"93","group_67",1269
"94","group_106",1269
"95","group_1736",1268
"96","group_1735",1268
"97","group_66",1268
"98","group_105",1260
"99","group_65",1260
"100","group_104",1260
"101","group_662",1268
"102","rlmC",1268
"103","group_2768",1305
"104","group_1197",1305
"105","group_1194",1304
"106","group_1192",1304
"107","group_1190",1304
"108","group_2767",1305
"109","group_1187",1305
"110","dut",1305
"111","group_1185",1305
"112","group_1183",1305
"113","group_2766",1302
"114","suhB",1299
"115","ppgK_1~~~ppgK_2",1299
"116","group_1179",1299
"117","rutC",1299
"118","group_1176",1299
"119","group_1201",1299
"120","group_1173",1299
"121","group_1171",1299
"122","group_1170",1299
"123","group_1168",1299
"124","group_1166",1299
"125","group_2765",1299
"126","sthA_2~~~~~~sthA_1",1299
"127","group_1164",1298
"128","group_2764",1298
"129","group_1162",1298
"130","group_1161",1298
"131","nrdr",1298
"132","group_2762",1298
"133","group_1160",1298
"134","group_1200",1299
"135","group_1158",1299
"136","fadE20",1301
"137","group_2759",1300
"138","group_1157",1301
"139","group_1156",1301
"140","group_1155",1301
"141","group_474",1301
"142","group_2757",1301
"143","group_1154",1301
"144","group_2756",1301
"145","group_1152",1298
"146","group_2755",1299
"147","group_1151",1299
"148","group_1150",1299
"149","group_1149",1299
"150","group_1147",1299
"151","ephg",1299
"152","group_3316",5
"153","group_3317",5
"154","group_3318",5
"155","group_3319",5
"156","group_3320",5
"157","group_3536",6
"158","fadE21",6
"159","group_3321",7
"160","group_3322",7
"161","group_3323",7
"162","group_3324",7
"163","group_3325",7
"164","group_3326",7
"165","group_3327",7
"166","group_3537",8
"167","aldb",8
"168","group_3328",8
"169","group_3329",8
"170","group_3330",8
"171","group_3331",8
"172","group_3332",8
"173","group_3538",8
"174","group_3378",60
"175","group_3379",60
"176","group_3380",60
"177","group_3381",60
"178","group_3382",60
"179","group_3383",60
"180","group_3384",60
"181","group_3385",60
"182","group_3386",60
"183","group_3387",60
"184","group_3388",61
"185","group_3389",61
"186","group_3390",61
"187","group_3391",61
"188","group_3392",61
"189","group_3393",61
"190","group_3361",61
"191","vapc21",61
"192","group_3394",61
"193","group_3395",61
"194","group_3396",61
"195","group_3362",62
"196","group_3397",62
"197","group_3398",62
"198","group_3399",62
"199","group_3400",62
"200","group_3401",62
"201","group_3402",62
"202","clgr",62
"203","group_3403",62
"204","group_3363",64
"205","group_3404",64
"206","group_3405",164
"207","group_3406",164
"208","group_3407",164
"209","group_3408",164
"210","group_3409",164
"211","group_3410",164
"212","group_3411",164
"213","group_3412",163
"214","group_3413",162
"215","group_3414",162
"216","group_3415",162
"217","group_3416",162
"218","group_3417",162
