BioSample,Center.Name,Instrument,Host,Location
SAMN03300359,USDA-NVSL-DBL,Illumina MiSeq,Cattle,Mexico
SAMN03300067,USDA-NVSL-DBL,Illumina MiSeq,Cattle,Mexico
SAMN03300220,USDA-NVSL-DBL,Illumina MiSeq,Cattle,Mexico
SAMN03300261,USDA-NVSL-DBL,Illumina MiSeq,Cattle,Mexico
SAMN03300262,USDA-NVSL-DBL,Illumina MiSeq,Cattle,Mexico
SAMN03300263,USDA-NVSL-DBL,Illumina MiSeq,Cattle,USA
SAMN03300529,USDA-NVSL-DBL,Illumina MiSeq,Cattle,Mexico
SAMN03300264,USDA-NVSL-DBL,Illumina MiSeq,Cattle,USA
SAMN03300530,USDA-NVSL-DBL,Illumina MiSeq,Cattle,Mexico
SAMN03300222,USDA-NVSL-DBL,Illumina MiSeq,Cattle,Mexico
SAMN03300687,USDA-NVSL-DBL,Illumina MiSeq,Cattle,Mexico
SAMN03300688,USDA-NVSL-DBL,Illumina MiSeq,Cattle,Mexico
SAMN03300604,USDA-NVSL-DBL,Illumina MiSeq,Cattle,USA
SAMN03300151,USDA-NVSL-DBL,Illumina MiSeq,Cattle,USA
SAMN03300152,USDA-NVSL-DBL,Illumina MiSeq,Cattle,USA
SAMN03300073,USDA-NVSL-DBL,Illumina MiSeq,Cattle,USA
SAMN03300466,USDA-NVSL-DBL,Illumina MiSeq,Cattle,USA
SAMN03300467,USDA-NVSL-DBL,Illumina MiSeq,Cattle,USA
SAMN03300468,USDA-NVSL-DBL,Illumina MiSeq,Cattle,USA
SAMN03300469,USDA-NVSL-DBL,Illumina MiSeq,Cattle,USA
SAMN03300074,USDA-NVSL-DBL,Illumina MiSeq,Cattle,USA
SAMN03300076,USDA-NVSL-DBL,Illumina MiSeq,Cattle,USA
SAMN03300077,USDA-NVSL-DBL,Illumina MiSeq,Cattle,USA
SAMN03300078,USDA-NVSL-DBL,Illumina MiSeq,Cattle,Mexico
SAMN03300470,USDA-NVSL-DBL,Illumina MiSeq,Cattle,USA
SAMN03300471,USDA-NVSL-DBL,Illumina MiSeq,Cattle,Mexico
SAMN03300225,USDA-NVSL-DBL,Illumina MiSeq,Cattle,USA
SAMN03300472,USDA-NVSL-DBL,Illumina MiSeq,Cattle,USA
SAMN03300473,USDA-NVSL-DBL,Illumina MiSeq,Cattle,USA
SAMN03300474,USDA-NVSL-DBL,Illumina MiSeq,Cattle,USA
