,BioSample,Country.x,loc1,loc2,geo_loc_name_country,id,Year,Country.y,location,latitude,longitude
664,SAMN06252091,New Zealand, BLENHEIM,NA,New Zealand,SAMN06252091_2005_NZ,2005,NZ, BLENHEIM,-41.51603,173.9528
497,SAMN06627997,Uruguay, Canelones,NA,Uruguay,SAMN06627997_2015_Uruguay,2015,Uruguay, Canelones,-34.5291,-56.2873
663,SAMN06252306,New Zealand, CHEVIOT,NA,New Zealand,SAMN06252306_2005_NZ,2005,NZ, CHEVIOT,-42.813,173.2739
679,SAMN06252148,New Zealand, DOBSON,NA,New Zealand,SAMN06252148_2007_NZ,2007,NZ, DOBSON,-42.4503,171.3102
498,SAMN06628112,Uruguay, Florida,NA,Uruguay,SAMN06628112_2014_Uruguay,2014,Uruguay, Florida,-34.0948,-56.2203
677,SAMN06252312,New Zealand, GORE,NA,New Zealand,SAMN06252312_2007_NZ,2007,NZ, GORE,-46.09989,168.9459
691,SAMN06252259,New Zealand, GRETAVALLEY,NA,New Zealand,SAMN06252259_2009_NZ,2009,NZ, GRETAVALLEY,-42.9638,172.9675
693,SAMN06252215,New Zealand, GRETAVALLEY,NA,New Zealand,SAMN06252215_2009_NZ,2009,NZ, GRETAVALLEY,-42.9638,172.9675
678,SAMN06252275,New Zealand, HAWARDEN,NA,New Zealand,SAMN06252275_2007_NZ,2007,NZ, HAWARDEN,-42.9234,172.6415
692,SAMN06252238,New Zealand, HAWARDEN,NA,New Zealand,SAMN06252238_2009_NZ,2009,NZ, HAWARDEN,-42.9234,172.6415
750,SAMN06252179,New Zealand, Kaikohe,NA,New Zealand,SAMN06252179_2013_NZ,2013,NZ, Kaikohe,-35.406,173.8032
671,SAMN06252240,New Zealand, KAIKOURA,NA,New Zealand,SAMN06252240_2006_NZ,2006,NZ, KAIKOURA,-42.3997,173.6795
672,SAMN06252141,New Zealand, KAIKOURA,NA,New Zealand,SAMN06252141_2006_NZ,2006,NZ, KAIKOURA,-42.3997,173.6795
682,SAMN06252116,New Zealand, KAIKOURA,NA,New Zealand,SAMN06252116_2008_NZ,2008,NZ, KAIKOURA,-42.3997,173.6795
748,SAMN06252232,New Zealand, Kaitaia,NA,New Zealand,SAMN06252232_2013_NZ,2013,NZ, Kaitaia,-35.1173,173.2676
749,SAMN06252202,New Zealand, Kaitaia,NA,New Zealand,SAMN06252202_2013_NZ,2013,NZ, Kaitaia,-35.1173,173.2676
751,SAMN06252084,New Zealand, Kaitaia,NA,New Zealand,SAMN06252084_2013_NZ,2013,NZ, Kaitaia,-35.1173,173.2676
696,SAMN06252151,New Zealand, OPUNAKE,NA,New Zealand,SAMN06252151_2009_NZ,2009,NZ, OPUNAKE,-39.4555,173.8619
669,SAMN06252322,New Zealand, OTOROHANGA,NA,New Zealand,SAMN06252322_2006_NZ,2006,NZ, OTOROHANGA,-38.1841,175.2127
670,SAMN06252318,New Zealand, OTOROHANGA,NA,New Zealand,SAMN06252318_2006_NZ,2006,NZ, OTOROHANGA,-38.1841,175.2127
694,SAMN06252203,New Zealand, OTOROHANGA,NA,New Zealand,SAMN06252203_2009_NZ,2009,NZ, OTOROHANGA,-38.1841,175.2127
695,SAMN06252172,New Zealand, OTOROHANGA,NA,New Zealand,SAMN06252172_2009_NZ,2009,NZ, OTOROHANGA,-38.1841,175.2127
690,SAMN06252370,New Zealand, RANGIORA,NA,New Zealand,SAMN06252370_2009_NZ,2009,NZ, RANGIORA,-43.304,172.5905
709,SAMN06252254,New Zealand, RANGIORA,NA,New Zealand,SAMN06252254_2010_NZ,2010,NZ, RANGIORA,-43.304,172.5905
644,SAMN03288261,Brazil, Sao Paulo,NA,Brazil,SAMN03288261_2010_Brazil,2010,Brazil, Sao Paulo,-23.5505,-46.6333
850,SAMN10966131,United Kingdom, England\, Woodchester Park,United Kingdom,SAMN10966131_1988_UK,1988,UK, Woodchester Park,51.7107,-2.2777
851,SAMN10966134,United Kingdom, England\, Woodchester Park,United Kingdom,SAMN10966134_1988_UK,1988,UK, Woodchester Park,51.7107,-2.2777
852,SAMN10966135,United Kingdom, England\, Woodchester Park,United Kingdom,SAMN10966135_1988_UK,1988,UK, Woodchester Park,51.7107,-2.2777
853,SAMN10966133,United Kingdom, England\, Woodchester Park,United Kingdom,SAMN10966133_1988_UK,1988,UK, Woodchester Park,51.7107,-2.2777
854,SAMN10966137,United Kingdom, England\, Woodchester Park,United Kingdom,SAMN10966137_1989_UK,1989,UK, Woodchester Park,51.7107,-2.2777
855,SAMN10966139,United Kingdom, England\, Woodchester Park,United Kingdom,SAMN10966139_1989_UK,1989,UK, Woodchester Park,51.7107,-2.2777
856,SAMN10966141,United Kingdom, England\, Woodchester Park,United Kingdom,SAMN10966141_1989_UK,1989,UK, Woodchester Park,51.7107,-2.2777
857,SAMN10966144,United Kingdom, England\, Woodchester Park,United Kingdom,SAMN10966144_1989_UK,1989,UK, Woodchester Park,51.7107,-2.2777
858,SAMN10966147,United Kingdom, England\, Woodchester Park,United Kingdom,SAMN10966147_1989_UK,1989,UK, Woodchester Park,51.7107,-2.2777
859,SAMN10966148,United Kingdom, England\, Woodchester Park,United Kingdom,SAMN10966148_1989_UK,1989,UK, Woodchester Park,51.7107,-2.2777
860,SAMN10966149,United Kingdom, England\, Woodchester Park,United Kingdom,SAMN10966149_1989_UK,1989,UK, Woodchester Park,51.7107,-2.2777
861,SAMN10966153,United Kingdom, England\, Woodchester Park,United Kingdom,SAMN10966153_1989_UK,1989,UK, Woodchester Park,51.7107,-2.2777
862,SAMN10966150,United Kingdom, England\, Woodchester Park,United Kingdom,SAMN10966150_1989_UK,1989,UK, Woodchester Park,51.7107,-2.2777
863,SAMN10966155,United Kingdom, England\, Woodchester Park,United Kingdom,SAMN10966155_1989_UK,1989,UK, Woodchester Park,51.7107,-2.2777
864,SAMN10966102,United Kingdom, England\, Woodchester Park,United Kingdom,SAMN10966102_1998_UK,1998,UK, Woodchester Park,51.7107,-2.2777
865,SAMN10966103,United Kingdom, England\, Woodchester Park,United Kingdom,SAMN10966103_1999_UK,1999,UK, Woodchester Park,51.7107,-2.2777
866,SAMN10966095,United Kingdom, England\, Woodchester Park,United Kingdom,SAMN10966095_1999_UK,1999,UK, Woodchester Park,51.7107,-2.2777
867,SAMN10966112,United Kingdom, England\, Woodchester Park,United Kingdom,SAMN10966112_2000_UK,2000,UK, Woodchester Park,51.7107,-2.2777
868,SAMN10966065,United Kingdom, England\, Woodchester Park,United Kingdom,SAMN10966065_2000_UK,2000,UK, Woodchester Park,51.7107,-2.2777
869,SAMN10966066,United Kingdom, England\, Woodchester Park,United Kingdom,SAMN10966066_2000_UK,2000,UK, Woodchester Park,51.7107,-2.2777
870,SAMN10966161,United Kingdom, England\, Woodchester Park,United Kingdom,SAMN10966161_2003_UK,2003,UK, Woodchester Park,51.7107,-2.2777
871,SAMN10966118,United Kingdom, England\, Woodchester Park,United Kingdom,SAMN10966118_2003_UK,2003,UK, Woodchester Park,51.7107,-2.2777
872,SAMN10966123,United Kingdom, England\, Woodchester Park,United Kingdom,SAMN10966123_2003_UK,2003,UK, Woodchester Park,51.7107,-2.2777
873,SAMN10966164,United Kingdom, England\, Woodchester Park,United Kingdom,SAMN10966164_2003_UK,2003,UK, Woodchester Park,51.7107,-2.2777
874,SAMN10966070,United Kingdom, England\, Woodchester Park,United Kingdom,SAMN10966070_2003_UK,2003,UK, Woodchester Park,51.7107,-2.2777
875,SAMN10966104,United Kingdom, England\, Woodchester Park,United Kingdom,SAMN10966104_2003_UK,2003,UK, Woodchester Park,51.7107,-2.2777
876,SAMN10966056,United Kingdom, England\, Woodchester Park,United Kingdom,SAMN10966056_2003_UK,2003,UK, Woodchester Park,51.7107,-2.2777
