Biosample,col,Outbreak
SAMN03300433,#440154FF,NM_Dairy_07-B
SAMN03300440,#440154FF,NM_Dairy_07-B
SAMN03300441,#440154FF,NM_Dairy_07-B
SAMN03300442,#440154FF,NM_Dairy_07-B
SAMN03300444,#440154FF,NM_Dairy_07-B
SAMN03300437,#440154FF,NM_Dairy_07-B
SAMN03300438,#440154FF,NM_Dairy_07-B
SAMN03300443,#440154FF,NM_Dairy_07-B
SAMN03300445,#440154FF,NM_Dairy_07-B
SAMN03300449,#440154FF,NM_Dairy_07-B
SAMN03300450,#440154FF,NM_Dairy_07-B
SAMN03300451,#440154FF,NM_Dairy_07-B
SAMN03300305,#31688EFF,MN_Beef
SAMN03300337,#31688EFF,MN_Beef
SAMN03300338,#31688EFF,MN_Beef
SAMN03300339,#31688EFF,MN_Beef
SAMN03300340,#31688EFF,MN_Beef
SAMN03300341,#31688EFF,MN_Beef
SAMN03300342,#31688EFF,MN_Beef
SAMN03300343,#31688EFF,MN_Beef
SAMN03300325,#31688EFF,MN_Beef
SAMN03300293,#31688EFF,MN_Beef
SAMN03300364,#31688EFF,MN_Beef
SAMN03300365,#31688EFF,MN_Beef
SAMN09284132,#31688EFF,MN_Beef
SAMN03300352,#31688EFF,MN_Beef
SAMN03300354,#31688EFF,MN_Beef
SAMN03300355,#31688EFF,MN_Beef
SAMN03300396,#31688EFF,MN_Beef
SAMN03300472,#31688EFF,MN_Beef
SAMN03300473,#31688EFF,MN_Beef
SAMN03300474,#31688EFF,MN_Beef
SAMN03300479,#31688EFF,MN_Beef
SAMN03300448,#31688EFF,MN_Beef
SAMN03300458,#31688EFF,MN_Beef
SAMN03300463,#31688EFF,MN_Beef
SAMN03300535,#31688EFF,MN_Beef
SAMN03300536,#31688EFF,MN_Beef
SAMN03300537,#31688EFF,MN_Beef
SAMN03300538,#31688EFF,MN_Beef
SAMN03300539,#31688EFF,MN_Beef
SAMN03300540,#31688EFF,MN_Beef
SAMN03300541,#31688EFF,MN_Beef
SAMN03300524,#31688EFF,MN_Beef
SAMN03300525,#31688EFF,MN_Beef
SAMN03300526,#31688EFF,MN_Beef
SAMN03300690,#35B779FF,CA_Dairy_11-B
SAMN03300695,#35B779FF,CA_Dairy_11-B
SAMN03300700,#35B779FF,CA_Dairy_11-B
SAMN03300670,#35B779FF,CA_Dairy_11-B
SAMN03300672,#35B779FF,CA_Dairy_11-B
SAMN03300673,#35B779FF,CA_Dairy_11-B
SAMN03300674,#35B779FF,CA_Dairy_11-B
SAMN03300675,#35B779FF,CA_Dairy_11-B
SAMN03300676,#35B779FF,CA_Dairy_11-B
SAMN03300678,#35B779FF,CA_Dairy_11-B
SAMN03300706,#FDE725FF,CA_Dairy_13-A
SAMN03300669,#35B779FF,CA_Dairy_11-B
SAMN03300718,#FDE725FF,CA_Dairy_13-A
SAMN03300720,#FDE725FF,CA_Dairy_13-A
SAMN03300722,#FDE725FF,CA_Dairy_13-A
SAMN03300723,#FDE725FF,CA_Dairy_13-A
SAMN03300725,#FDE725FF,CA_Dairy_13-A
SAMN03300771,#FDE725FF,CA_Dairy_13-A
SAMN03300773,#FDE725FF,CA_Dairy_13-A
SAMN03300719,#FDE725FF,CA_Dairy_13-A
SAMN03300724,#FDE725FF,CA_Dairy_13-A
SAMN03300729,#FDE725FF,CA_Dairy_13-A
SAMN03300774,#FDE725FF,CA_Dairy_13-A
