"","first.start","first.end","second.X.start","second.X.end","first.names","second.ref_name","n_ref","gene_within_ref","query.width","ref.width","diff_starts","diff_ends","overlap","overlap_len","overlap_percent","n_gene","n_ref_corr","len_same","same_start","is_core","left_overlap","right_overlap","ref_gene_has_core","pseudo_status","seqid","source","type","start","end","score","strand","phase","attributes","Gene","Name"
"1",399688,400554,399688,400554,"rmlA","BQ2027_MB0341",2,1,867,867,0,866,"within",NA,1,1,1,1,1,1,0,0,1,"core","LT708304.1","EMBL","gene",399688,400554,NA,"+",NA,"ID=gene-BQ2027_MB0341;Name=rmlA;gbkey=Gene;gene=rmlA;gene_biotype=protein_coding;locus_tag=BQ2027_MB0341","BQ2027_MB0341","rmlA"
"2",399224,399658,399284,399658,"group_745","BQ2027_MB0340",1,0,435,375,60,434,"left",374,0.859770114942529,1,1,0,0,0,-60,0,0,"gene spans ref","LT708304.1","EMBL","gene",399284,399658,NA,"+",NA,"ID=gene-BQ2027_MB0340;Name=BQ2027_MB0340;gbkey=Gene;gene_biotype=protein_coding;locus_tag=BQ2027_MB0340","BQ2027_MB0340","BQ2027_MB0340"
"3",398472,399257,398472,399257,"group_677","BQ2027_MB0339",2,1,786,786,0,785,"within",NA,1,1,1,1,1,1,0,0,1,"core","LT708304.1","EMBL","gene",398472,399257,NA,"+",NA,"ID=gene-BQ2027_MB0339;Name=BQ2027_MB0339;gbkey=Gene;gene_biotype=protein_coding;locus_tag=BQ2027_MB0339","BQ2027_MB0339","BQ2027_MB0339"
"4",396377,397117,396377,397117,"group_1002","BQ2027_MB0337C",1,1,741,741,0,740,"within",NA,1,1,1,1,1,1,0,0,1,"core","LT708304.1","EMBL","gene",396377,397117,NA,"-",NA,"ID=gene-BQ2027_MB0337C;Name=BQ2027_MB0337C;gbkey=Gene;gene_biotype=protein_coding;locus_tag=BQ2027_MB0337C","BQ2027_MB0337C","BQ2027_MB0337C"
"5",395724,396350,395724,396350,"group_1642","BQ2027_MB0336C",2,1,627,627,0,626,"within",NA,1,1,1,1,1,1,0,0,1,"core","LT708304.1","EMBL","gene",395724,396350,NA,"-",NA,"ID=gene-BQ2027_MB0336C;Name=BQ2027_MB0336C;gbkey=Gene;gene_biotype=protein_coding;locus_tag=BQ2027_MB0336C","BQ2027_MB0336C","BQ2027_MB0336C"
"6",395141,395743,395141,395743,"betI_1","BQ2027_MB0335",2,1,603,603,0,602,"within",NA,1,1,1,1,1,1,0,0,1,"core","LT708304.1","EMBL","gene",395141,395743,NA,"+",NA,"ID=gene-BQ2027_MB0335;Name=BQ2027_MB0335;gbkey=Gene;gene_biotype=protein_coding;locus_tag=BQ2027_MB0335","BQ2027_MB0335","BQ2027_MB0335"
"7",393069,393758,393069,393758,"group_1294","BQ2027_MB0333",1,1,690,690,0,689,"within",NA,1,1,1,1,1,1,0,0,1,"core","LT708304.1","EMBL","gene",393069,393758,NA,"+",NA,"ID=gene-BQ2027_MB0333;Name=BQ2027_MB0333;gbkey=Gene;gene_biotype=protein_coding;locus_tag=BQ2027_MB0333","BQ2027_MB0333","BQ2027_MB0333"
"8",392382,393062,392382,393062,"group_1334","BQ2027_MB0332",1,1,681,681,0,680,"within",NA,1,1,1,1,1,1,0,0,1,"core","LT708304.1","EMBL","gene",392382,393062,NA,"+",NA,"ID=gene-BQ2027_MB0332;Name=BQ2027_MB0332;gbkey=Gene;gene_biotype=protein_coding;locus_tag=BQ2027_MB0332","BQ2027_MB0332","BQ2027_MB0332"
"9",391610,392281,391610,392281,"mshB_1","BQ2027_MB0331C",2,1,672,672,0,671,"within",NA,1,1,1,1,1,1,0,0,1,"core","LT708304.1","EMBL","gene",391610,392281,NA,"-",NA,"ID=gene-BQ2027_MB0331C;Name=BQ2027_MB0331C;gbkey=Gene;gene_biotype=protein_coding;locus_tag=BQ2027_MB0331C","BQ2027_MB0331C","BQ2027_MB0331C"
"10",389612,390184,389612,390184,"dcd","BQ2027_MB0329",1,1,573,573,0,572,"within",NA,1,1,1,1,1,1,0,0,1,"core","LT708304.1","EMBL","gene",389612,390184,NA,"+",NA,"ID=gene-BQ2027_MB0329;Name=dcd;gbkey=Gene;gene=dcd;gene_biotype=protein_coding;locus_tag=BQ2027_MB0329","BQ2027_MB0329","dcd"
"11",388178,388846,388178,388846,"pcp","BQ2027_MB0327",1,1,669,669,0,668,"within",NA,1,1,1,1,1,1,0,0,1,"core","LT708304.1","EMBL","gene",388178,388846,NA,"+",NA,"ID=gene-BQ2027_MB0327;Name=pcp;gbkey=Gene;gene=pcp;gene_biotype=protein_coding;locus_tag=BQ2027_MB0327","BQ2027_MB0327","pcp"
"12",387335,388111,387335,388129,"group_758","BQ2027_MB0326C",1,1,777,795,0,794,"within",NA,1,1,1,0,1,0,0,-18,0,"pseudogene","LT708304.1","EMBL","gene",387335,388129,NA,"-",NA,"ID=gene-BQ2027_MB0326C;Name=BQ2027_MB0326C;gbkey=Gene;gene_biotype=protein_coding;locus_tag=BQ2027_MB0326C","BQ2027_MB0326C","BQ2027_MB0326C"
"13",386203,386940,386203,386973,"ugpQ","BQ2027_MB0325C",1,1,738,771,0,770,"within",NA,1,1,1,0,1,0,0,-33,0,"pseudogene","LT708304.1","EMBL","gene",386203,386973,NA,"-",NA,"ID=gene-BQ2027_MB0325C;Name=glpQ2;gbkey=Gene;gene=glpQ2;gene_biotype=protein_coding;locus_tag=BQ2027_MB0325C","BQ2027_MB0325C","glpQ2"
"14",385565,386179,385565,386179,"group_1726","BQ2027_MB0324",1,1,615,615,0,614,"within",NA,1,1,1,1,1,1,0,0,1,"core","LT708304.1","EMBL","gene",385565,386179,NA,"+",NA,"ID=gene-BQ2027_MB0324;Name=BQ2027_MB0324;gbkey=Gene;gene_biotype=protein_coding;locus_tag=BQ2027_MB0324","BQ2027_MB0324","BQ2027_MB0324"
"15",383520,383906,383520,383906,"group_1276","BQ2027_MB0321",1,1,387,387,0,386,"within",NA,1,1,1,1,1,1,0,0,1,"core","LT708304.1","EMBL","gene",383520,383906,NA,"+",NA,"ID=gene-BQ2027_MB0321;Name=BQ2027_MB0321;gbkey=Gene;gene_biotype=protein_coding;locus_tag=BQ2027_MB0321","BQ2027_MB0321","BQ2027_MB0321"
"16",381586,383448,381586,383448,"hscA","BQ2027_MB0320",1,1,1863,1863,0,1862,"within",NA,1,1,1,1,1,1,0,0,1,"core","LT708304.1","EMBL","gene",381586,383448,NA,"+",NA,"ID=gene-BQ2027_MB0320;Name=BQ2027_MB0320;gbkey=Gene;gene_biotype=protein_coding;locus_tag=BQ2027_MB0320","BQ2027_MB0320","BQ2027_MB0320"
