"","Sequence_ID","Assembly","X..contigs.....0.bp.","X..contigs.....1000.bp.","X..contigs.....5000.bp.","X..contigs.....10000.bp.","X..contigs.....25000.bp.","X..contigs.....50000.bp.","Total.length.....0.bp.","Total.length.....1000.bp.","Total.length.....5000.bp.","Total.length.....10000.bp.","Total.length.....25000.bp.","Total.length.....50000.bp.","X..contigs","Largest.contig","Total.length","Reference.length","GC....","Reference.GC....","N50","NG50","N75","NG75","L50","LG50","L75","LG75","X..misassemblies","X..misassembled.contigs","Misassembled.contigs.length","X..local.misassemblies","X..scaffold.gap.ext..mis.","X..scaffold.gap.loc..mis.","X..unaligned.mis..contigs","X..unaligned.contigs","Unaligned.length","Genome.fraction....","Duplication.ratio","X..N.s.per.100.kbp","X..mismatches.per.100.kbp","X..indels.per.100.kbp","X..genomic.features","Largest.alignment","Total.aligned.length","NA50","NGA50","NA75","NGA75","LA50","LGA50","LA75","LGA75contigs"
"1","SAMN09725459_assembled"," contigs ",228,52,39,37,31,24,4393286,4321286,4298072,4282958,4176615,3930699,61,481753,4327784,4349904,65.6,65.63,193044,193044,124901,124901,8,8,15,15,2,1,193044,9,0,0,0," 5 + 0 part ",7697,99.216,1.001,0,15.22,2.73," 8002 + 85 part ",481546,4317725,192636,192636,104049,104049,8,"8",16," 16 \\ \hline"
"2","SAMN09725615_assembled"," contigs ",259,50,38,37,33,26,4396469,4308374,4284250,4278737,4203844,3971833,63,341693,4317677,4349904,65.55,65.63,175816,175816,110272,110272,9,9,16,16,3,2,342950,6,0,0,0," 6 + 0 part ",8816,98.959,1.001,0,14.05,2.83," 7998 + 83 part ",341304,4307253,166892,166892,98884,96439,9,"9",17," 18 \\ \hline"
"3","SAMN09725497_assembled"," contigs ",198,48,38,35,31,26,4390700,4326810,4307286,4288049,4216087,4039362,66,505265,4339068,4349904,65.58,65.63,192692,179081,126803,126803,8,9,15,15,0,0,0,4,0,0,0," 8 + 0 part ",9431,99.481,1.001,0,5.64,1.55," 8048 + 73 part ",505265,4328353,192692,179081,126803,126803,8,"9",15," 15 \\ \hline"
"4","SAMN09725408_assembled"," contigs ",274,49,35,33,31,23,4419647,4321432,4293865,4282266,4252464,3953161,74,475772,4338735,4349904,65.56,65.63,227655,227655,104287,104287,7,7,14,14,2,1,192927,8,0,0,0," 19 + 0 part ",17196,99.234,1.001,0,14.15,2.66," 8012 + 79 part ",475629,4319455,227655,227655,98884,98884,7,"7",15," 15 \\ \hline"
"5","SAMN09725566_assembled"," contigs ",101,64,47,44,36,28,4314660,4300130,4267164,4242431,4098246,3793683,75,371210,4308145,4349904,65.59,65.63,147479,147479,97199,97199,11,11,20,20,7,4,309052,11,0,0,0," 0 + 0 part ",0,98.896,1.001,0,15.9,2.6," 7974 + 113 part ",371210,4304080,142297,142297,97190,72867,11,"11",20," 21 \\ \hline"
"6","SAMN09725574_assembled"," contigs ",175,63,48,45,39,31,4359161,4312135,4284927,4263445,4161176,3861658,78,296537,4322038,4349904,65.6,65.63,145563,145563,76871,76871,11,11,22,22,4,3,484864,8,0,0,0," 3 + 1 part ",8304,99.051,1.001,0,15.16,2.92," 7986 + 95 part ",296537,4312002,127109,127109,76871,70347,12,"12",23," 24 \\ \hline"
"7","SAMN03288261_assembled"," contigs ",295,64,45,42,38,30,4375400,4321219,4283499,4266541,4197512,3918981,79,281903,4332103,4349904,65.55,65.63,133738,133738,98738,98738,11,11,21,21,1,1,188679,7,0,0,0," 8 + 2 part ",17711,99.169,1,0,17.66,3.34," 8022 + 71 part ",281903,4313189,130553,130553,98738,98738,12,"12",21," 21 \\ \hline"
"8","SAMN08321029_assembled"," contigs ",134,67,52,46,41,32,4318040,4300711,4271932,4236242,4150722,3841840,79,290528,4309615,4349904,65.57,65.63,119807,119807,76670,68998,12,12,22,23,4,3,587511,7,0,0,0," 1 + 0 part ",5441,98.899,1,0,11.41,2.6," 7994 + 93 part ",281778,4303239,107709,107709,65991,65991,13,"13",25," 25 \\ \hline"
"9","SAMN09725644_assembled"," contigs ",150,65,47,45,40,31,4345714,4308386,4269213,4258231,4152542,3865738,81,290720,4319789,4349904,65.58,65.63,154640,154640,82431,82431,11,11,21,21,5,4,353192,7,0,0,0," 2 + 0 part ",6242,99.047,1.001,0,4.6,1.23," 7984 + 111 part ",229906,4311614,154529,144312,68256,68256,11,"12",22," 22 \\ \hline"
"10","SAMN09725827_assembled"," contigs ",153,67,49,47,41,33,4350709,4315081,4280951,4270087,4162663,3889442,81,296537,4324678,4349904,65.59,65.63,127109,127109,81506,81506,12,12,23,23,3,2,195066,7,0,0,0," 3 + 0 part ",6834,99.132,1.001,0,13.54,2.53," 7986 + 103 part ",296537,4316095,115550,115550,76871,76871,13,"13",24," 24 \\ \hline"
"11","SAMN03199232_assembled"," contigs ",126,69,53,51,39,30,4329538,4308297,4279032,4264812,4057219,3720920,82,281527,4317231,4349904,65.61,65.63,127755,127755,78624,78624,12,12,23,23,2,2,185797,10,0,0,0," 1 + 0 part ",1189,99.11,1.001,0,13.73,2.34," 7968 + 115 part ",281526,4314349,124291,124291,78474,78474,13,"13",24," 24 \\ \hline"
"12","SAMN09725716_assembled"," contigs ",159,61,45,42,38,30,4369254,4324341,4290205,4270165,4207559,3926251,82,297158,4339697,4349904,65.56,65.63,137528,137528,96329,96329,11,11,21,21,1,1,104520,5,0,0,0," 9 + 0 part ",10833,99.433,1.001,0,6.36,1.85," 8036 + 83 part ",297158,4328573,137528,137528,92431,92431,11,"11",21," 21 \\ \hline"
"13","SAMN09725717_assembled"," contigs ",221,62,46,43,38,30,4391944,4326065,4295429,4274160,4188000,3920023,82,296437,4338858,4349904,65.58,65.63,127057,127057,92167,92167,11,11,21,21,0,0,0,2,0,0,0," 8 + 0 part ",9343,99.425,1.001,0,5.06,1.36," 8038 + 83 part ",296437,4328341,127057,127057,92167,92167,11,"11",21," 21 \\ \hline"
"14","SAMN09725645_assembled"," contigs ",186,66,49,47,40,31,4354365,4306656,4270448,4258942,4135681,3830864,84,259046,4319132,4349904,65.55,65.63,127114,127114,82468,82468,11,11,22,22,1,1,70596,6,0,0,0," 6 + 0 part ",8483,98.978,1.001,0,4.78,1.09," 8012 + 103 part ",259046,4307138,127114,127114,82249,82249,11,"11",22," 22 \\ \hline"
"15","SAMN03300188_assembled"," contigs ",125,77,59,58,47,29,4331863,4312056,4278751,4273545,4117582,3447447,86,364141,4318856,4349904,65.58,65.63,109265,107314,63953,63953,13,14,26,26,6,4,225373,15,0,0,0," 0 + 3 part ",4104,99.021,1.002,0,18.34,2.69," 7972 + 145 part ",364124,4310583,107314,102273,62027,58526,13,"14",26," 27 \\ \hline"
"16","SAMN03300396_assembled"," contigs ",183,72,54,52,44,32,4360583,4313920,4280560,4268386,4133958,3716482,88,242421,4324848,4349904,65.6,65.63,107997,107997,64237,64237,12,12,24,24,0,0,0,12,0,0,0," 1 + 0 part ",506,99.28,1.001,0,9.56,2.18," 7992 + 129 part ",242421,4321785,107878,107878,64237,64237,12,"12",24," 24 \\ \hline"
"17","SAMN03300608_assembled"," contigs ",131,76,58,56,45,32,4333324,4309145,4276070,4263172,4095208,3607669,88,328529,4317951,4349904,65.59,65.63,111983,111983,58318,58318,12,12,26,26,3,3,318074,14,0,0,0," 0 + 0 part ",0,99.11,1.002,0,8.72,1.69," 7976 + 145 part ",328272,4313184,111777,111777,58318,58318,12,"12",26," 26 \\ \hline"
"18","SAMN03300677_assembled"," contigs ",137,75,56,54,46,30,4328430,4303267,4267514,4249816,4115200,3513630,90,327225,4314118,4349904,65.58,65.63,108000,108000,56639,55602,12,12,25,26,9,6,285087,9,0,0,0," 0 + 0 part ",0,99.033,1.001,0,9.75,1.81," 7972 + 145 part ",327225,4310397,107881,107881,55602,52477,12,"12",25," 26 \\ \hline"
"19","SAMN06252238_assembled"," contigs ",207,78,57,50,44,34,4323301,4293233,4250937,4204312,4090787,3735037,90,290192,4301946,4349904,65.61,65.63,105679,105679,64899,64899,13,13,26,26,4,3,666898,6,0,0,0," 0 + 0 part ",0,98.859,1,0,13.09,2.74," 7950 + 111 part ",281662,4300615,98740,98740,63033,63033,15,"15",29," 29 \\ \hline"
"20","SAMN08321034_assembled"," contigs ",157,77,57,51,42,30,4332074,4311943,4271993,4236483,4083697,3684956,90,290609,4321791,4349904,65.58,65.63,129392,129392,64093,64093,12,12,23,23,5,5,924293,11,0,0,0," 1 + 2 part ",7670,99.03,1.001,0,16.39,2.76," 7980 + 109 part ",281760,4312378,116016,116016,61604,61604,14,"14",26," 26 \\ \hline"
"21","SAMN09725425_assembled"," contigs ",115,73,53,50,42,29,4305654,4285374,4248814,4229612,4092618,3574807,90,240316,4297824,4349904,65.55,65.63,133927,133927,62025,61758,12,12,23,24,9,8,756584,7,0,0,0," 1 + 0 part ",562,98.631,1.002,0,17.04,2.4," 7950 + 135 part ",227655,4293422,116088,116088,61274,58917,13,"13",26," 27 \\ \hline"
"22","SAMN03300551_assembled"," contigs ",137,77,54,50,41,31,4299143,4273964,4230290,4203155,4052598,3697508,91,256431,4284559,4349904,65.59,65.63,131864,131400,65218,64766,12,13,23,24,6,5,359311,22,0,0,0," 1 + 2 part ",3566,98.257,1.002,0,17.36,2.99," 7908 + 139 part ",256276,4275764,131864,130502,64766,64237,12,"13",24," 25 \\ \hline"
"23","SAMN06252091_assembled"," contigs ",209,79,58,53,45,34,4322322,4291267,4249621,4219624,4073071,3678505,91,290192,4300457,4349904,65.62,65.63,105679,105679,64093,63033,14,14,26,27,4,3,629319,6,0,0,0," 0 + 0 part ",0,98.838,1,0,13.26,2.81," 7944 + 123 part ",281663,4299512,98741,98741,61113,60576,15,"15",29," 30 \\ \hline"
"24","SAMN06252215_assembled"," contigs ",247,78,57,50,44,34,4332202,4290297,4248259,4201405,4090620,3737983,91,290192,4300284,4349904,65.61,65.63,105679,105679,64899,64899,13,13,26,26,4,3,666781,7,0,0,0," 0 + 0 part ",0,98.837,1,0,13.1,2.93," 7950 + 113 part ",281663,4299296,98740,98740,64084,63033,15,"15",28," 29 \\ \hline"
