qseqid,sseqid,pident,length,mismatch,gapopen,qstart,qend,sstart,send,evalue,bitscore
group_1815,NC_002945.4,100,870,0,0,1,870,106770,107639,0,1607
group_1054,NC_002945.4,100,552,0,0,1,552,107636,108187,0,1020
group_671,NC_002945.4,100,1599,0,0,1,1599,108216,109814,0,2953
group_1816,NC_002945.4,100,249,0,0,1,249,109807,110055,1.74E-130,460
dltA,NC_002945.4,100,7539,0,0,1,7539,110037,117575,0,13923
dltA,NC_002945.4,76.304,882,191,16,6226,7095,2891938,2892813,2.67E-127,455
ctpB,NC_002945.4,100,2259,0,0,1,2259,122209,119951,0,4172
ctpB,NC_002945.4,76.394,538,115,10,1718,2249,102308,102839,5.13E-75,279
ctpB,NC_002945.4,76.364,165,33,6,1188,1349,1080439,1080600,4.32E-16,84.2
group_772,NC_002945.4,100,1515,0,0,1,1515,122353,123867,0,2798
group_1337,NC_002945.4,100,285,0,0,1,285,124300,124016,1.96E-150,527
group_1229,NC_002945.4,100,1197,0,0,1,1197,124410,125606,0,2211
rmd,NC_002945.4,100,957,0,0,1,957,136327,137283,0,1768
group_450,NC_002945.4,100,189,0,0,1,189,139996,140184,2.90E-97,350
ldtA,NC_002945.4,99.868,756,1,0,1,756,141062,140307,0,1391
oxyR,NC_002945.4,100,945,0,0,1,945,141240,142184,0,1746
oxc,NC_002945.4,100,1749,0,0,1,1749,143916,142168,0,3230
group_1754,NC_002945.4,100,435,0,0,1,435,148380,147946,0,804
group_2240,NC_002945.4,100,369,0,0,1,369,148894,149262,0,682
group_1421,NC_002945.4,100,1068,0,0,1,1068,151339,152406,0,1973
mak,NC_002945.4,100,1368,0,0,1,1368,154423,155790,0,2527
group_2052,NC_002945.4,100,780,0,0,1,780,155858,156637,0,1441
fbpC,NC_002945.4,100,1023,0,0,1,1023,157791,156769,0,1890
group_1611,NC_002945.4,100,456,0,0,1,456,158038,158493,0,843
bbsG,NC_002945.4,99.926,1344,1,0,1,1344,159849,158506,0,2477
ephB_1,NC_002945.4,100,393,0,0,1,393,161962,162354,0,726
group_551,NC_002945.4,100,606,0,0,1,606,163439,162834,0,1120
group_1068,NC_002945.4,100,1326,0,0,1,1326,163556,164881,0,2449
msrA,NC_002945.4,100,549,0,0,1,549,165450,164902,0,1014
group_1330,NC_002945.4,99.802,504,1,0,1,504,165513,166016,0,926
auaH,NC_002945.4,99.902,1023,1,0,1,1023,166017,167039,0,1884
group_1945,NC_002945.4,100,411,0,0,1,411,167871,167461,0,760
group_1657,NC_002945.4,100,927,0,0,1,927,167901,168827,0,1712
clcB,NC_002945.4,100,1479,0,0,1,1479,170372,168894,0,2732
group_1888,NC_002945.4,100,843,0,0,1,843,170474,171316,0,1557
group_1607,NC_002945.4,100,954,0,0,1,954,171405,172358,0,1762
group_1634,NC_002945.4,99.894,942,1,0,1,942,172392,173333,0,1735
group_1835,NC_002945.4,99.884,861,1,0,1,861,175023,175883,0,1585
group_1577,NC_002945.4,100,969,0,0,1,969,175890,176858,0,1790
group_1277,NC_002945.4,100,288,0,0,1,288,177142,176855,4.26E-152,532
