"","first.start","first.end","second.X.start","second.X.end","first.names","second.ref_name","n_ref","gene_within_ref","query.width","ref.width","diff_starts","diff_ends","overlap","overlap_len","overlap_percent","n_gene","n_ref_corr","len_same","same_start","is_core","left_overlap","right_overlap","ref_gene_has_core","pseudo_status","seqid","source","type","start","end","score","strand","phase","attributes","Gene","Name"
"1",106770,107639,106770,107639,"group_1815","BQ2027_MB0100",2,1,870,870,0,869,"within",NA,1,1,1,1,1,1,0,0,1,"core","LT708304.1","EMBL","gene",106770,107639,NA,"+",NA,"ID=gene-BQ2027_MB0100;Name=BQ2027_MB0100;gbkey=Gene;gene_biotype=protein_coding;locus_tag=BQ2027_MB0100","BQ2027_MB0100","BQ2027_MB0100"
"2",107636,108187,107636,108187,"group_1054","BQ2027_MB0101",2,1,552,552,0,551,"within",NA,1,1,1,1,1,1,0,0,1,"core","LT708304.1","EMBL","gene",107636,108187,NA,"+",NA,"ID=gene-BQ2027_MB0101;Name=fcot;gbkey=Gene;gene=fcot;gene_biotype=protein_coding;locus_tag=BQ2027_MB0101","BQ2027_MB0101","fcot"
"3",108216,109814,108192,109814,"group_671","BQ2027_MB0102",2,1,1599,1623,-24,1598,"within",NA,1,1,1,0,0,0,24,0,0,"pseudogene","LT708304.1","EMBL","gene",108192,109814,NA,"+",NA,"ID=gene-BQ2027_MB0102;Name=fadD10;gbkey=Gene;gene=fadD10;gene_biotype=protein_coding;locus_tag=BQ2027_MB0102","BQ2027_MB0102","fadD10"
"4",109807,110055,109819,110055,"group_1816","BQ2027_MB0103",2,0,249,237,12,248,"left",236,0.947791164658635,1,1,0,0,0,-12,0,0,"gene spans ref","LT708304.1","EMBL","gene",109819,110055,NA,"+",NA,"ID=gene-BQ2027_MB0103;Name=BQ2027_MB0103;gbkey=Gene;gene_biotype=protein_coding;locus_tag=BQ2027_MB0103","BQ2027_MB0103","BQ2027_MB0103"
"5",110037,117575,110037,117575,"dltA","BQ2027_MB0104",2,1,7539,7539,0,7538,"within",NA,1,1,1,1,1,1,0,0,1,"core","LT708304.1","EMBL","gene",110037,117575,NA,"+",NA,"ID=gene-BQ2027_MB0104;Name=nrp;gbkey=Gene;gene=nrp;gene_biotype=protein_coding;locus_tag=BQ2027_MB0104","BQ2027_MB0104","nrp"
"6",119951,122209,119951,122209,"ctpB","BQ2027_MB0106C",1,1,2259,2259,0,2258,"within",NA,1,1,1,1,1,1,0,0,1,"core","LT708304.1","EMBL","gene",119951,122209,NA,"-",NA,"ID=gene-BQ2027_MB0106C;Name=ctpB;gbkey=Gene;gene=ctpB;gene_biotype=protein_coding;locus_tag=BQ2027_MB0106C","BQ2027_MB0106C","ctpB"
"7",122353,123867,122353,123867,"group_772","BQ2027_MB0107",1,1,1515,1515,0,1514,"within",NA,1,1,1,1,1,1,0,0,1,"core","LT708304.1","EMBL","gene",122353,123867,NA,"+",NA,"ID=gene-BQ2027_MB0107;Name=BQ2027_MB0107;gbkey=Gene;gene_biotype=protein_coding;locus_tag=BQ2027_MB0107","BQ2027_MB0107","BQ2027_MB0107"
"8",124016,124300,124016,124300,"group_1337","BQ2027_MB0108C",1,1,285,285,0,284,"within",NA,1,1,1,1,1,1,0,0,1,"core","LT708304.1","EMBL","gene",124016,124300,NA,"-",NA,"ID=gene-BQ2027_MB0108C;Name=rpmB1;gbkey=Gene;gene=rpmB1;gene_biotype=protein_coding;locus_tag=BQ2027_MB0108C","BQ2027_MB0108C","rpmB1"
"9",124410,125606,124410,125606,"group_1229","BQ2027_MB0109",1,1,1197,1197,0,1196,"within",NA,1,1,1,1,1,1,0,0,1,"core","LT708304.1","EMBL","gene",124410,125606,NA,"+",NA,"ID=gene-BQ2027_MB0109;Name=BQ2027_MB0109;gbkey=Gene;gene_biotype=protein_coding;locus_tag=BQ2027_MB0109","BQ2027_MB0109","BQ2027_MB0109"
"10",136327,137283,136327,137283,"rmd","BQ2027_MB0116",1,1,957,957,0,956,"within",NA,1,1,1,1,1,1,0,0,1,"core","LT708304.1","EMBL","gene",136327,137283,NA,"+",NA,"ID=gene-BQ2027_MB0116;Name=gca;gbkey=Gene;gene=gca;gene_biotype=protein_coding;locus_tag=BQ2027_MB0116","BQ2027_MB0116","gca"
"11",140307,141062,140307,141062,"ldtA","BQ2027_MB0120C",1,1,756,756,0,755,"within",NA,1,1,1,1,1,1,0,0,1,"core","LT708304.1","EMBL","gene",140307,141062,NA,"-",NA,"ID=gene-BQ2027_MB0120C;Name=ldta;gbkey=Gene;gene=ldta;gene_biotype=protein_coding;locus_tag=BQ2027_MB0120C","BQ2027_MB0120C","ldta"
"12",141240,142184,141240,142184,"oxyR","BQ2027_MB0121",2,1,945,945,0,944,"within",NA,1,1,1,1,1,1,0,0,1,"core","LT708304.1","EMBL","gene",141240,142184,NA,"+",NA,"ID=gene-BQ2027_MB0121;Name=oxyS;gbkey=Gene;gene=oxyS;gene_biotype=protein_coding;locus_tag=BQ2027_MB0121","BQ2027_MB0121","oxyS"
"13",142168,143916,142168,143916,"oxc","BQ2027_MB0122C",2,1,1749,1749,0,1748,"within",NA,1,1,1,1,1,1,0,0,1,"core","LT708304.1","EMBL","gene",142168,143916,NA,"-",NA,"ID=gene-BQ2027_MB0122C;Name=oxcA;gbkey=Gene;gene=oxcA;gene_biotype=protein_coding;locus_tag=BQ2027_MB0122C","BQ2027_MB0122C","oxcA"
"14",147946,148380,147946,148380,"group_1754","BQ2027_MB0126C",1,1,435,435,0,434,"within",NA,1,1,1,1,1,1,0,0,1,"core","LT708304.1","EMBL","gene",147946,148380,NA,"-",NA,"ID=gene-BQ2027_MB0126C;Name=BQ2027_MB0126C;gbkey=Gene;gene_biotype=protein_coding;locus_tag=BQ2027_MB0126C","BQ2027_MB0126C","BQ2027_MB0126C"
"15",148894,149262,148894,149262,"group_2240","BQ2027_MB0128",2,1,369,369,0,368,"within",NA,1,1,1,1,1,1,0,0,1,"core","LT708304.1","EMBL","gene",148894,149262,NA,"+",NA,"ID=gene-BQ2027_MB0128;Name=BQ2027_MB0128;gbkey=Gene;gene_biotype=protein_coding;locus_tag=BQ2027_MB0128","BQ2027_MB0128","BQ2027_MB0128"
"16",151339,152406,151339,152406,"group_1421","BQ2027_MB0130",1,1,1068,1068,0,1067,"within",NA,1,1,1,1,1,1,0,0,1,"core","LT708304.1","EMBL","gene",151339,152406,NA,"+",NA,"ID=gene-BQ2027_MB0130;Name=pepA;gbkey=Gene;gene=pepA;gene_biotype=protein_coding;locus_tag=BQ2027_MB0130","BQ2027_MB0130","pepA"
"17",154423,155790,154423,155790,"mak","BQ2027_MB0132",1,1,1368,1368,0,1367,"within",NA,1,1,1,1,1,1,0,0,1,"core","LT708304.1","EMBL","gene",154423,155790,NA,"+",NA,"ID=gene-BQ2027_MB0132;Name=mak;gbkey=Gene;gene=mak;gene_biotype=protein_coding;locus_tag=BQ2027_MB0132","BQ2027_MB0132","mak"
"18",155858,156637,155858,156637,"group_2052","BQ2027_MB0133",1,1,780,780,0,779,"within",NA,1,1,1,1,1,1,0,0,1,"core","LT708304.1","EMBL","gene",155858,156637,NA,"+",NA,"ID=gene-BQ2027_MB0133;Name=BQ2027_MB0133;gbkey=Gene;gene_biotype=protein_coding;locus_tag=BQ2027_MB0133","BQ2027_MB0133","BQ2027_MB0133"
"19",156769,157791,156769,157791,"fbpC","BQ2027_MB0134C",1,1,1023,1023,0,1022,"within",NA,1,1,1,1,1,1,0,0,1,"core","LT708304.1","EMBL","gene",156769,157791,NA,"-",NA,"ID=gene-BQ2027_MB0134C;Name=fbpC;gbkey=Gene;gene=fbpC;gene_biotype=protein_coding;locus_tag=BQ2027_MB0134C","BQ2027_MB0134C","fbpC"
"20",158038,158493,158038,158493,"group_1611","BQ2027_MB0135",1,1,456,456,0,455,"within",NA,1,1,1,1,1,1,0,0,1,"core","LT708304.1","EMBL","gene",158038,158493,NA,"+",NA,"ID=gene-BQ2027_MB0135;Name=htdz;gbkey=Gene;gene=htdz;gene_biotype=protein_coding;locus_tag=BQ2027_MB0135","BQ2027_MB0135","htdz"
"21",158506,159849,158506,159849,"bbsG","BQ2027_MB0136C",1,1,1344,1344,0,1343,"within",NA,1,1,1,1,1,1,0,0,1,"core","LT708304.1","EMBL","gene",158506,159849,NA,"-",NA,"ID=gene-BQ2027_MB0136C;Name=fadE1;gbkey=Gene;gene=fadE1;gene_biotype=protein_coding;locus_tag=BQ2027_MB0136C","BQ2027_MB0136C","fadE1"
"22",162834,163439,162834,163439,"group_551","BQ2027_MB0140C",2,1,606,606,0,605,"within",NA,1,1,1,1,1,1,0,0,1,"core","LT708304.1","EMBL","gene",162834,163439,NA,"-",NA,"ID=gene-BQ2027_MB0140C;Name=BQ2027_MB0140C;gbkey=Gene;gene_biotype=protein_coding;locus_tag=BQ2027_MB0140C","BQ2027_MB0140C","BQ2027_MB0140C"
