Run,Assay Type,BioSample,Center Name,Consent,Experiment,Instrument,Library Name,LibraryLayout,LibrarySelection,LibrarySource,Organism,Platform,ReleaseDate,Sample Name,SRA Study,BioProject,Bytes,DATASTORE filetype,DATASTORE provider,DATASTORE region,AvgSpotLen,Bases,Host,Collection_Date,BioSampleModel,isolate,geo_loc_name_country,geo_loc_name_country_continent,geo_loc_name,isolation_source,strain,collected_by,lat_lon,host_disease,ENA-FIRST-PUBLIC (run),ENA-LAST-UPDATE (run),sample_type,AssemblyName,sample_name,INSDC_center_name,INSDC_first_public,INSDC_last_update,INSDC_status,SRA_accession,title,Alias,INSDC_center_alias,ENA_CHECKLIST,subject_id,Biomaterial_provider,ENA-FIRST-PUBLIC,ENA-LAST-UPDATE,spoligotype,ArrayExpress-SPECIES,Genotype,VNTR,host_description,forward_read_length (run),MD5_checksum2 (run),MD5_checksum (run),reverse_read_length (run),REA,external_id,Submitter_Id,passage_history,identified_by,samp_size,common_name,lab_host,host_sex,geographic_location_(country_and/or_sea),host_health_state,host_scientific_name,Host_Age,host_tissue_sampled,doi_location,Description,env_biome,specific_host,env_feature,env_material,isol_growth_condt,num_replicons,ref_biomaterial,accession (run),object_status (run),study (run),analysis_type (exp),analysis_type (run),flowcell_barcode (run),gssr_id (exp),gssr_id (run),instrument_name (run),isolation-source,lane (run),library_type (exp)
SRR1792001,WGS,SAMN03300359,USDA-NVSL-DBL,public,SRX867663,Illumina MiSeq,250: 06-1916,PAIRED,RANDOM,GENOMIC,Mycobacterium tuberculosis variant bovis,ILLUMINA,2015-03-11T00:00:00Z,16-Jun,SRP053287,PRJNA251692,605486407,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",438,947719684,Cattle,2006,Pathogen.cl,MB310,Mexico,North America,Mexico,Tissue,16-Jun,Not Collected,Not Collected,Bovine Tuberculosis,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SRR1791861,WGS,SAMN03300219,USDA-NVSL-DBL,public,SRX867523,Illumina MiSeq,250: 03-1917,PAIRED,RANDOM,GENOMIC,Mycobacterium tuberculosis variant bovis,ILLUMINA,2015-03-11T00:00:00Z,17-Mar,SRP053287,PRJNA251692,669962884,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",474,979786607,Cattle,2003,Pathogen.cl,MB170,Mexico,North America,Mexico,Tissue,17-Mar,Not Collected,Not Collected,Bovine Tuberculosis,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SRR1791709,WGS,SAMN03300067,USDA-NVSL-DBL,public,SRX867371,Illumina MiSeq,250: 01-1920,PAIRED,RANDOM,GENOMIC,Mycobacterium tuberculosis variant bovis,ILLUMINA,2015-03-11T00:00:00Z,20-Jan,SRP053287,PRJNA251692,1135770910,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",444,1490780722,Cattle,2001,Pathogen.cl,MB18,Mexico,North America,Mexico,Tissue,20-Jan,Not Collected,Not Collected,Bovine Tuberculosis,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SRR1791862,WGS,SAMN03300220,USDA-NVSL-DBL,public,SRX867524,Illumina MiSeq,250: 03-1926,PAIRED,RANDOM,GENOMIC,Mycobacterium tuberculosis variant bovis,ILLUMINA,2015-03-11T00:00:00Z,26-Mar,SRP053287,PRJNA251692,216587465,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",479,299030593,Cattle,2003,Pathogen.cl,MB171,Mexico,North America,Mexico,Tissue,26-Mar,Not Collected,Not Collected,Bovine Tuberculosis,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SRR1792106,WGS,SAMN03300464,USDA-NVSL-DBL,public,SRX867768,Illumina HiSeq 2000,250: 08-1930,PAIRED,RANDOM,GENOMIC,Mycobacterium tuberculosis variant bovis,ILLUMINA,2015-03-11T00:00:00Z,30-Aug,SRP053287,PRJNA251692,235134699,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",108,347129388,Cattle,2008,Pathogen.cl,MB415,USA,North America,USA:NM,Tissue,30-Aug,Not Collected,Not Collected,Bovine Tuberculosis,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SRR1791903,WGS,SAMN03300261,USDA-NVSL-DBL,public,SRX867565,Illumina MiSeq,250: 04-1950,PAIRED,RANDOM,GENOMIC,Mycobacterium tuberculosis variant bovis,ILLUMINA,2015-03-11T00:00:00Z,Apr-50,SRP053287,PRJNA251692,282300086,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",400,449662993,Cattle,2004,Pathogen.cl,MB212,Mexico,North America,Mexico,Tissue,Apr-50,Not Collected,Not Collected,Bovine Tuberculosis,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SRR1791904,WGS,SAMN03300262,USDA-NVSL-DBL,public,SRX867566,Illumina MiSeq,250: 04-1970,PAIRED,RANDOM,GENOMIC,Mycobacterium tuberculosis variant bovis,ILLUMINA,2015-03-11T00:00:00Z,Apr-70,SRP053287,PRJNA251692,700572338,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",444,946377249,Cattle,2004,Pathogen.cl,MB213,Mexico,North America,Mexico,Tissue,Apr-70,Not Collected,Not Collected,Bovine Tuberculosis,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SRR1791905,WGS,SAMN03300263,USDA-NVSL-DBL,public,SRX867567,Illumina MiSeq,250: 04-2019,PAIRED,RANDOM,GENOMIC,Mycobacterium tuberculosis variant bovis,ILLUMINA,2015-03-11T00:00:00Z,19-Apr,SRP053287,PRJNA251692,567497691,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",452,953540093,Cattle,2004,Pathogen.cl,MB214,USA,North America,USA:AZ,Tissue,19-Apr,Not Collected,Not Collected,Bovine Tuberculosis,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SRR1792171,WGS,SAMN03300529,USDA-NVSL-DBL,public,SRX867833,Illumina MiSeq,250: 09-2046,PAIRED,RANDOM,GENOMIC,Mycobacterium tuberculosis variant bovis,ILLUMINA,2015-03-11T00:00:00Z,Sep-46,SRP053287,PRJNA251692,746526895,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",441,1286601049,Cattle,2009,Pathogen.cl,MB480,Mexico,North America,Mexico,Tissue,Sep-46,Not Collected,Not Collected,Bovine Tuberculosis,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SRR1792047,WGS,SAMN03300405,USDA-NVSL-DBL,public,SRX867709,Illumina MiSeq,250: 07-2063,PAIRED,RANDOM,GENOMIC,Mycobacterium tuberculosis variant bovis,ILLUMINA,2015-03-11T00:00:00Z,Jul-63,SRP053287,PRJNA251692,136161343,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",482,196923476,Cattle,2007,Pathogen.cl,MB356,Mexico,North America,Mexico,Tissue,Jul-63,Not Collected,Not Collected,Bovine Tuberculosis,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
