"","qseqid","sseqid","pident","length","mismatch","gapopen","qstart","qend","sstart","send","evalue","bitscore"
"1","PPE1","NC_002945.4",100,1392,0,0,1,1392,105360,106751,0,2571
"2","fcot","NC_002945.4",100,552,0,0,1,552,107636,108187,0,1020
"3","group_1433","NC_002945.4",100,1599,0,0,1,1599,108216,109814,0,2953
"4","group_891","NC_002945.4",100,249,0,0,1,249,109807,110055,1.74e-130,460
"5","group_562","NC_002945.4",100,2259,0,0,1,2259,122209,119951,0,4172
"6","group_562","NC_002945.4",76.394,538,115,10,1718,2249,102308,102839,5.13e-75,279
"7","group_562","NC_002945.4",76.364,165,33,6,1188,1349,1080439,1080600,4.32e-16,84.2
"8","rpmB1","NC_002945.4",100,285,0,0,1,285,124300,124016,1.96e-150,527
"9","group_665","NC_002945.4",100,957,0,0,1,957,136327,137283,0,1768
"10","group_332","NC_002945.4",100,189,0,0,1,189,139996,140184,2.9e-97,350
"11","ldta","NC_002945.4",99.868,756,1,0,1,756,141062,140307,0,1391
"12","group_790","NC_002945.4",100,945,0,0,1,945,141240,142184,0,1746
"13","group_1060","NC_002945.4",100,1749,0,0,1,1749,143916,142168,0,3230
"14","group_531","NC_002945.4",100,183,0,0,1,183,148715,148897,6.09e-94,339
"15","group_1235","NC_002945.4",100,369,0,0,1,369,148894,149262,0,682
"16","mak","NC_002945.4",100,1368,0,0,1,1368,154423,155790,0,2527
"17","group_509","NC_002945.4",100,1023,0,0,1,1023,157791,156769,0,1890
"18","htdz","NC_002945.4",100,456,0,0,1,456,158038,158493,0,843
"19","group_647","NC_002945.4",100,606,0,0,1,606,163439,162834,0,1120
"20","group_1697","NC_002945.4",100,549,0,0,1,549,165450,164902,0,1014
"21","group_2262","NC_002945.4",99.802,504,1,0,1,504,165513,166016,0,926
"22","group_537","NC_002945.4",100,411,0,0,1,411,167871,167461,0,760
"23","group_1687","NC_002945.4",100,843,0,0,1,843,170474,171316,0,1557
"24","group_899","NC_002945.4",99.893,933,1,0,1,933,172401,173333,0,1718
"25","group_1557","NC_002945.4",99.884,861,1,0,1,861,175023,175883,0,1585
"26","group_58","NC_002945.4",100,288,0,0,1,288,177142,176855,4.26e-152,532
"27","PE1_2","NC_002945.4",100,225,0,0,1,225,181219,180995,3.42e-117,416
"28","ptbB","NC_002945.4",99.88,831,1,0,1,831,182175,181345,0,1530
"29","fadE2","NC_002945.4",100,1212,0,0,1,1212,183388,182177,0,2239
"30","pntAa","NC_002945.4",100,1101,0,0,1,1101,183812,184912,0,2034
"31","pntAb","NC_002945.4",99.7,333,1,0,1,333,184913,185245,2.24e-175,610
"32","group_1856","NC_002945.4",99.93,1428,1,0,1,1428,185242,186669,0,2632
"33","group_303","NC_002945.4",100,126,0,0,1,126,186810,186685,1.92e-62,233
"34","group_418","NC_002945.4",100,645,0,0,1,645,186975,187619,0,1192
"35","PE4","NC_002945.4",100,1509,0,0,1,1509,190629,189121,0,2787
"36","group_152","NC_002945.4",100,441,0,0,1,441,193861,194301,0,815
"37","group_1449","NC_002945.4",100,870,0,0,1,870,197852,198721,0,1607
"38","group_1449","NC_002945.4",81.325,755,133,8,120,870,687308,688058,7.86e-174,606
"39","group_432","NC_002945.4",100,1041,0,0,1,1041,200087,201127,0,1923
"40","group_1447","NC_002945.4",100,1593,0,0,1,1593,202668,204260,0,2942
"41","group_2803","NC_002945.4",100,1173,0,0,1,1173,204257,205429,0,2167
"42","group_634","NC_002945.4",99.897,969,1,0,1,969,207644,208612,0,1784
"43","group_1619","NC_002945.4",100,555,0,0,1,555,208609,209163,0,1026
"44","group_2516","NC_002945.4",100,735,0,0,1,735,209130,209864,0,1358
"45","group_2517","NC_002945.4",100,735,0,0,1,735,213203,212469,0,1358
"46","group_2385","NC_002945.4",100,750,0,0,1,750,215161,215910,0,1386
"47","group_2183","NC_002945.4",100,510,0,0,1,510,215907,216416,0,942
"48","ricR","NC_002945.4",100,291,0,0,1,291,222063,222353,9.26e-154,538
"49","group_2506","NC_002945.4",100,1242,0,0,1,1242,222481,223722,0,2294
"50","group_1102","NC_002945.4",99.829,585,1,0,1,585,231841,232425,0,1075
"51","group_41","NC_002945.4",100,504,0,0,1,504,238591,238088,0,931
"52","group_2360","NC_002945.4",100,1284,0,0,1,1284,243455,242172,0,2372
"53","group_2521","NC_002945.4",100,735,0,0,1,735,248314,247580,0,1358
"54","group_2225","NC_002945.4",100,765,0,0,1,765,266951,266187,0,1413
"55","group_1089","NC_002945.4",100,1731,0,0,1,1731,269888,268158,0,3197
"56","group_2374","NC_002945.4",99.922,1281,1,0,1,1281,271178,269898,0,2361
"57","group_112","NC_002945.4",100,195,0,0,1,195,273228,273034,1.39e-100,361
"58","aftd","NC_002945.4",100,4203,0,0,1,4203,285175,280973,0,7762
"59","group_786","NC_002945.4",100,174,0,0,1,174,285395,285222,5.79e-89,322
"60","vapb24","NC_002945.4",100,234,0,0,1,234,287428,287661,3.55e-122,433
"61","group_832","NC_002945.4",99.674,1842,0,1,1,1842,293958,292123,0,3363
"62","group_2473","NC_002945.4",100,489,0,0,1,489,294330,294818,0,904
"63","group_2409","NC_002945.4",100,747,0,0,1,747,297187,296441,0,1380
"64","group_646","NC_002945.4",100,1941,0,0,1,1941,299128,297188,0,3585
"65","group_1800","NC_002945.4",100,822,0,0,1,822,299980,299159,0,1519
"66","group_2799","NC_002945.4",100,294,0,0,1,294,300353,300060,2.01e-155,544
"67","cobU","NC_002945.4",100,525,0,0,1,525,304674,304150,0,970
"68","group_128","NC_002945.4",100,3993,0,0,1,3993,346637,350629,0,7374
"69","PE5","NC_002945.4",100,309,0,0,1,309,350626,350934,9.74e-164,571
"70","group_2800","NC_002945.4",100,294,0,0,1,294,352527,352820,2.01e-155,544
"71","esxH","NC_002945.4",100,291,0,0,1,291,352850,353140,9.26e-154,538
"72","mycp3","NC_002945.4",100,1386,0,0,1,1386,355500,356885,0,2560
"73","group_2013","NC_002945.4",100,786,0,0,1,786,359173,359958,0,1452
