"","name","start","end","strand","length","pid","gene","synonym","product","proteinid","feature","gene_type","MbovID","Gene","id","len","extra_id","Mtb_ID","col","fill","lty","lwd","pch","cex"
"1","dnaA",1,1524,1,507,"P49991","dnaA","BQ2027_MB0001","CHROMOSOMAL REPLICATION INITIATOR PROTEIN DNAA","SIT98333.1","CDS","bars","Mb0001"," dnaA",NA," len 507 aa. ",NA,"Rv0001","blue","blue",1,1,8,1
"2","dnaN",2052,3260,1,402,"O33914","dnaN","BQ2027_MB0002","DNA POLYMERASE III (BETA CHAIN) DNAN (DNA NUCLEOTIDYLTRANSFERASE)","SIT98337.1","CDS","bars","Mb0002"," dnaN",NA," len 402 aa. ",NA,"Rv0002","blue","blue",1,1,8,1
"3","recF",3280,4437,1,385,"Q7U314","recF","BQ2027_MB0003","DNA REPLICATION AND REPAIR PROTEIN RECF (SINGLE-STRAND DNA BINDING PROTEIN)","SIT98339.1","CDS","bars","Mb0003"," recF",NA," len 385 aa. ",NA,"Rv0003","blue","blue",1,1,8,1
"4","BQ2027_MB0004",4434,4997,1,187,"Q7U313","-","BQ2027_MB0004","Zn-ribbon-containing, possibly RNA-binding protein and truncated derivatives","SIT98341.1","CDS","bars","Mb0004"," -",NA," len 187 aa. ",NA,"Rv0004","blue","blue",1,1,8,1
"5","gyrB",5123,7267,1,714,"A0A1R3XU15","gyrB","BQ2027_MB0005","DNA GYRASE (SUBUNIT B) GYRB (DNA TOPOISOMERASE (ATP-HYDROLYSING)) (DNA TOPOISOMERASE II) (TYPE II DNA TOPOISOMERASE)","SIT98343.1","CDS","bars","Mb0005"," gyrB",NA," len 714 aa. ",NA,"Rv0005","blue","blue",1,1,8,1
"6","gyrA",7302,9818,1,838,"A0A1R3XU07","gyrA","BQ2027_MB0006","DNA GYRASE (SUBUNIT A) GYRA (DNA TOPOISOMERASE (ATP-HYDROLYSING)) (DNA TOPOISOMERASE II) (TYPE II DNA TOPOISOMERASE)","SIT98345.1","CDS","bars","Mb0006"," gyrA",NA," len 838 aa. ",NA,"Rv0006","blue","blue",1,1,8,1
"7","BQ2027_MB0007",9914,10828,1,304,"A0A1R3XW78","-","BQ2027_MB0007","POSSIBLE CONSERVED MEMBRANE PROTEIN","SIT98347.1","CDS","bars","Mb0007"," -",NA," len 304 aa. ",NA,"Rv0007","blue","blue",1,1,8,1
"8","BQ2027_MB0008C",11874,12311,-1,145,"P59977","-","BQ2027_MB0008C","POSSIBLE MEMBRANE PROTEIN","SIT98350.1","CDS","bars","Mb0008c"," -",NA," len 145 aa. ",NA,"Rv0008c","blue","blue",1,1,8,1
"9","ppiA",12468,13016,1,182,"P65763","ppiA","BQ2027_MB0009","PROBABLE IRON-REGULATED PEPTIDYL-PROLYL CIS-TRANS ISOMERASE A PPIA (PPIase A) (ROTAMASE A)","SIT98352.1","CDS","bars","Mb0009"," ppiA",NA," len 182 aa. ",NA,"Rv0009","blue","blue",1,1,8,1
"10","BQ2027_MB0010C",13222,13557,-1,111,"A0A1R3XUN1","-","BQ2027_MB0010C","PROBABLE CONSERVED MEMBRANE PROTEIN","SIT98354.1","CDS","bars","Mb0010c"," -",NA," len 111 aa. ",NA,"Rv0010c","blue","blue",1,1,8,1
"11","BQ2027_MB0011C",13713,13994,-1,93,"P67377","-","BQ2027_MB0011C","PROBABLE CONSERVED TRANSMEMBRANE PROTEIN","SIT98356.1","CDS","bars","Mb0011c"," -",NA," len 93 aa. ",NA,"Rv0011c","blue","blue",1,1,8,1
"12","BQ2027_MB0012",14088,14876,1,262,"A0A1R3XU20","-","BQ2027_MB0012","PROBABLE CONSERVED MEMBRANE PROTEIN","SIT98357.1","CDS","bars","Mb0012"," -",NA," len 262 aa. ",NA,"Rv0012","blue","blue",1,1,8,1
"13","trpG",14913,15611,1,232,"A0A1R3XU22","trpG","BQ2027_MB0013","POSSIBLE ANTHRANILATE SYNTHASE COMPONENT II TRPG (GLUTAMINE AMIDOTRANSFERASE)","SIT98358.1","CDS","bars","Mb0013"," trpG",NA," len 232 aa. ",NA,"Rv0013","blue","blue",1,1,8,1
"14","pknB",15589,17469,-1,626,"P0A5S5","pknB","BQ2027_MB0014C","TRANSMEMBRANE SERINE/THREONINE-PROTEIN KINASE B PKNB (PROTEIN KINASE B) (STPK B)","SIT98359.1","CDS","bars","Mb0014c"," pknB",NA," len 626 aa. ",NA,"Rv0014c","blue","blue",1,1,8,1
"15","pknA",17466,18761,-1,431,"P65727","pknA","BQ2027_MB0015C","TRANSMEMBRANE SERINE/THREONINE-PROTEIN KINASE A PKNA (PROTEIN KINASE A) (STPK A)","SIT98360.1","CDS","bars","Mb0015c"," pknA",NA," len 431 aa. ",NA,"Rv0015c","blue","blue",1,1,8,1
"16","pbpA",18758,20233,-1,491,"A0A1R3XU21","pbpA","BQ2027_MB0016C","PROBABLE PENICILLIN-BINDING PROTEIN PBPA","SIT98361.1","CDS","bars","Mb0016c"," pbpA",NA," len 491 aa. ",NA,"Rv0016c","blue","blue",1,1,8,1
