"","Gene","No..isolates"
"1","cpdA",851
"2","group_2342",851
"3","group_2341",851
"4","group_2340",851
"5","group_2339",851
"6","purL",851
"7","purF",851
"8","group_2337",851
"9","cpsY",851
"10","group_2336",851
"11","apeB",851
"12","group_2335",851
"13","purM",851
"14","group_2334",851
"15","espE~~~~~~espE_1~~~espE_2",851
"16","group_2330",851
"17","group_2329",851
"18","group_2328",851
"19","soj~~~nifH",851
"20","yidC",851
"21","group_2327",851
"22","group_2326",851
"23","gyrB1",851
"24","pknB",851
"25","espB~~~espB_1~~~espB_2",851
"26","papA2",851
"27","group_2324",851
"28","group_2323",851
"29","dnaB",851
"30","hycD",851
"31","group_2322",851
"32","ctpA_2~~~ctpA_1~~~ctpA",851
"33","group_2319",851
"34","eccD1_1~~~eccD1_2",851
"35","eccA1",851
"36","mviN",851
"37","rsmA",851
"38","bioF2~~~bioF2_1~~~~~~bioF2_2~~~bioF",851
"39","group_2318",851
"40","rutA",851
"41","glf",851
"42","group_2316",851
"43","cpnT~~~cpnT_1~~~cpnT_2",851
"44","group_2315",851
"45","serS",851
"46","whiB6",851
"47","group_2314",851
"48","esxE",851
"49","rpsF",851
"50","metC",851
"51","dhmA~~~oleB",851
"52","mmpL8_2",851
"53","pks2_2~~~pks2_1~~~pks2",851
"54","chp1_2~~~chp1_1~~~chp1",851
"55","glfT2",851
"56","mtnN_2",851
"57","glpQ1",851
"58","inhA_1",851
"59","COQ3_1~~~COQ3_2",851
"60","group_2312",851
"61","group_2311",851
"62","group_2309",851
"63","group_2308",851
"64","neo",851
"65","recF",851
"66","mutT4",851
"67","icd2_2~~~icd2_1~~~icd2",851
"68","ino1",851
"69","group_2307",851
"70","group_2304",851
"71","group_2302",851
"72","dnaN",851
"73","espR",851
"74","group_2300",851
"75","parB",851
"76","fhaB",851
"77","mycP2_1~~~mycP2~~~mycP2_2~~~eccE2",851
"78","group_2298",851
"79","group_2297",851
"80","IMPDH",851
"81","group_2296",851
"82","crgA",851
"83","eccA2~~~eccA2_1~~~eccA2_2",851
"84","sap_2",851
"85","bfrB",851
"86","group_2289",851
"87","group_2288",851
"88","group_2286",851
"89","glyA2",851
"90","group_2284",851
"91","group_2283",851
"92","hycG",851
"93","nimR",851
"94","group_2280",851
"95","eccCb1",851
"96","group_2279",851
"97","espI_2",851
"98","pstP",851
"99","dnaA",851
"100","group_2278",851
"101","group_2276",851
"102","ethA_4~~~ethA_3",851
"103","cwlM",851
"104","group_2275",851
"105","pbpA",851
"106","group_2274",851
"107","group_2273",851
"108","group_2272",851
"109","vapC9_2",851
"110","group_2271",851
"111","group_2270",851
"112","sodB",851
"113","ycdX",851
"114","trxB",851
"115","group_2269",851
"116","yitU",851
"117","eccB1",851
"118","group_2267",851
"119","group_2266",851
"120","esxF~~~esxF_1",851
"121","cca",851
"122","pheA",851
"123","group_2264",851
"124","group_2263",851
"125","group_2262",851
"126","group_2260",851
"127","group_2259",851
"128","group_2258",851
"129","aftB",851
"130","group_2257",851
"131","espK~~~espK_1~~~espK_2",851
"132","group_2256",851
"133","espJ",851
"134","group_2255",851
"135","gltB",851
"136","rraA",851
"137","dltA_1~~~menE_1~~~mbtM_1~~~menE_3",851
"138","group_2254",851
"139","group_2253",851
"140","eccCa1",851
"141","group_2252",851
"142","group_2251",851
"143","group_2250",851
"144","fbpA",851
"145","rsmG",851
"146","group_2248",851
"147","group_2247",851
"148","cwsA_2~~~cwsA_1~~~cwsA",851
"149","trpG",851
"150","mycP1",851
"151","ethR_2",851
"152","group_2245",851
"153","ppiA",851
