Name	n_Nucleotides	n_Sequences	Percent_GC	Percent_Identical Sites	Percent_Pairwise_Identity	Created	Created Date	Description	Free end gaps	Max Sequence Length	Mean Coverage	Min Sequence Length	Modified	Ref Seq Index	Ref Seq Length	Ref Seq Name	Sequence_Length	Size	Topology	URN
aac.aln	428904	851	68.3%	95.2%	100.0%	Tue Oct 05 22:12:56 EDT 2021	Tue Oct 05 22:12:56 EDT 2021	Alignment of 851 sequences	true	504	851.0	504	Wed Oct 06 07:29:16 EDT 2021	-1	0		504	144 KB	linear	urn:local:.:ol8-dxz06zn
accA1_1.aln	1705404	851	67.8%	98.6%	100.0%	Tue Oct 05 22:12:59 EDT 2021	Tue Oct 05 22:12:59 EDT 2021	Alignment of 851 sequences	true	2004	851.0	2004	Wed Oct 06 07:29:16 EDT 2021	-1	0		2004	460 KB	linear	urn:local:.:ol9-dxz06zn
accA1_2.aln	1631367	851	67.9%	99.7%	100.0%	Tue Oct 05 22:13:00 EDT 2021	Tue Oct 05 22:13:00 EDT 2021	Alignment of 851 sequences	true	1917	851.0	1917	Wed Oct 06 07:29:16 EDT 2021	-1	0		1917	442 KB	linear	urn:local:.:ola-dxz06zn
accD3.aln	1266288	851	69.4%	99.5%	100.0%	Tue Oct 05 22:13:00 EDT 2021	Tue Oct 05 22:13:00 EDT 2021	Alignment of 851 sequences	true	1488	851.0	1488	Wed Oct 06 07:29:16 EDT 2021	-1	0		1488	352 KB	linear	urn:local:.:olb-dxz06zn
accD5_1.aln	1401597	851	64.4%	99.9%	100.0%	Tue Oct 05 22:13:00 EDT 2021	Tue Oct 05 22:13:00 EDT 2021	Alignment of 851 sequences	true	1647	851.0	1647	Wed Oct 06 07:29:16 EDT 2021	-1	0		1647	385 KB	linear	urn:local:.:olc-dxz06zn
accD5_2.aln	1358196	851	66.1%	99.7%	100.0%	Tue Oct 05 22:13:01 EDT 2021	Tue Oct 05 22:13:01 EDT 2021	Alignment of 851 sequences	true	1596	851.0	1596	Wed Oct 06 07:29:15 EDT 2021	-1	0		1596	375 KB	linear	urn:local:.:old-dxz06zn
accD6.aln	1210122	851	67.8%	99.9%	100.0%	Tue Oct 05 22:13:02 EDT 2021	Tue Oct 05 22:13:02 EDT 2021	Alignment of 851 sequences	true	1422	851.0	1422	Wed Oct 06 07:29:15 EDT 2021	-1	0		1422	339 KB	linear	urn:local:.:ole-dxz06zn
acdA.aln	998223	851	67.0%	99.8%	100.0%	Tue Oct 05 22:13:02 EDT 2021	Tue Oct 05 22:13:02 EDT 2021	Alignment of 851 sequences	true	1173	851.0	1173	Wed Oct 06 07:29:15 EDT 2021	-1	0		1173	287 KB	linear	urn:local:.:olf-dxz06zn
aceE.aln	2374290	851	64.6%	99.8%	100.0%	Tue Oct 05 22:13:02 EDT 2021	Tue Oct 05 22:13:02 EDT 2021	Alignment of 851 sequences	true	2790	851.0	2790	Wed Oct 06 07:29:15 EDT 2021	-1	0		2790	624 KB	linear	urn:local:.:olg-dxz06zn
acg.aln	847596	851	63.7%	99.5%	99.9%	Tue Oct 05 22:13:03 EDT 2021	Tue Oct 05 22:13:03 EDT 2021	Alignment of 851 sequences	true	996	851.0	996	Wed Oct 06 07:29:15 EDT 2021	-1	0		996	247 KB	linear	urn:local:.:olh-dxz06zn
acn.aln	2410032	851	63.0%	99.7%	100.0%	Tue Oct 05 22:13:03 EDT 2021	Tue Oct 05 22:13:03 EDT 2021	Alignment of 851 sequences	true	2832	851.0	2832	Wed Oct 06 07:29:15 EDT 2021	-1	0		2832	633 KB	linear	urn:local:.:oli-dxz06zn
acpM.aln	296148	851	60.3%	99.7%	100.0%	Tue Oct 05 22:13:04 EDT 2021	Tue Oct 05 22:13:04 EDT 2021	Alignment of 851 sequences	true	348	851.0	348	Wed Oct 06 07:29:14 EDT 2021	-1	0		348	112 KB	linear	urn:local:.:olj-dxz06zn
acpS.aln	334443	851	68.7%	100.0%	100.0%	Tue Oct 05 22:13:04 EDT 2021	Tue Oct 05 22:13:04 EDT 2021	Alignment of 851 sequences	true	393	851.0	393	Wed Oct 06 07:29:14 EDT 2021	-1	0		393	122 KB	linear	urn:local:.:olk-dxz06zn
acr1.aln	709734	851	66.9%	99.6%	100.0%	Tue Oct 05 22:13:04 EDT 2021	Tue Oct 05 22:13:04 EDT 2021	Alignment of 851 sequences	true	834	851.0	834	Wed Oct 06 07:29:14 EDT 2021	-1	0		834	213 KB	linear	urn:local:.:oll-dxz06zn
acrC_1.aln	954822	851	67.5%	99.6%	100.0%	Tue Oct 05 22:13:05 EDT 2021	Tue Oct 05 22:13:05 EDT 2021	Alignment of 851 sequences	true	1122	851.0	1122	Wed Oct 06 07:29:14 EDT 2021	-1	0		1122	276 KB	linear	urn:local:.:olm-dxz06zn
acsA.aln	1664556	851	65.3%	99.7%	100.0%	Tue Oct 05 22:13:05 EDT 2021	Tue Oct 05 22:13:05 EDT 2021	Alignment of 851 sequences	true	1956	851.0	1956	Wed Oct 06 07:29:14 EDT 2021	-1	0		1956	450 KB	linear	urn:local:.:oln-dxz06zn
act.aln	459540	851	65.4%	99.3%	100.0%	Tue Oct 05 22:13:06 EDT 2021	Tue Oct 05 22:13:06 EDT 2021	Alignment of 851 sequences	true	540	851.0	540	Wed Oct 06 07:29:14 EDT 2021	-1	0		540	152 KB	linear	urn:local:.:olo-dxz06zn
acyP.aln	239982	851	70.6%	99.6%	100.0%	Tue Oct 05 22:13:06 EDT 2021	Tue Oct 05 22:13:06 EDT 2021	Alignment of 851 sequences	true	282	851.0	282	Wed Oct 06 07:29:14 EDT 2021	-1	0		282	98 KB	linear	urn:local:.:olp-dxz06zn
add.aln	934398	851	64.8%	100.0%	100.0%	Tue Oct 05 22:13:06 EDT 2021	Tue Oct 05 22:13:06 EDT 2021	Alignment of 851 sequences	true	1098	851.0	1098	Wed Oct 06 07:29:14 EDT 2021	-1	0		1098	271 KB	linear	urn:local:.:olq-dxz06zn
adh.aln	939504	851	68.0%	99.5%	100.0%	Tue Oct 05 22:13:06 EDT 2021	Tue Oct 05 22:13:06 EDT 2021	Alignment of 851 sequences	true	1104	851.0	1104	Wed Oct 06 07:29:14 EDT 2021	-1	0		1104	272 KB	linear	urn:local:.:olr-dxz06zn
adhA.aln	885891	851	68.7%	99.6%	100.0%	Tue Oct 05 22:13:06 EDT 2021	Tue Oct 05 22:13:06 EDT 2021	Alignment of 851 sequences	true	1041	851.0	1041	Wed Oct 06 07:29:13 EDT 2021	-1	0		1041	259 KB	linear	urn:local:.:ols-dxz06zn
adhB_2.aln	959928	851	64.1%	99.7%	100.0%	Tue Oct 05 22:13:07 EDT 2021	Tue Oct 05 22:13:07 EDT 2021	Alignment of 851 sequences	true	1128	851.0	1128	Wed Oct 06 07:29:13 EDT 2021	-1	0		1128	277 KB	linear	urn:local:.:olt-dxz06zn
adhC.aln	885891	851	64.6%	99.5%	100.0%	Tue Oct 05 22:13:07 EDT 2021	Tue Oct 05 22:13:07 EDT 2021	Alignment of 851 sequences	true	1041	851.0	1041	Wed Oct 06 07:29:13 EDT 2021	-1	0		1041	259 KB	linear	urn:local:.:olu-dxz06zn
adhD.aln	942057	851	66.8%	99.5%	100.0%	Tue Oct 05 22:13:07 EDT 2021	Tue Oct 05 22:13:07 EDT 2021	Alignment of 851 sequences	true	1107	851.0	1107	Wed Oct 06 07:29:13 EDT 2021	-1	0		1107	273 KB	linear	urn:local:.:olv-dxz06zn
adk.aln	464646	851	63.7%	99.8%	100.0%	Tue Oct 05 22:13:08 EDT 2021	Tue Oct 05 22:13:08 EDT 2021	Alignment of 851 sequences	true	546	851.0	546	Wed Oct 06 07:29:13 EDT 2021	-1	0		546	153 KB	linear	urn:local:.:olw-dxz06zn
adoK.aln	829725	851	63.9%	99.4%	100.0%	Tue Oct 05 22:13:08 EDT 2021	Tue Oct 05 22:13:08 EDT 2021	Alignment of 851 sequences	true	975	851.0	975	Wed Oct 06 07:29:13 EDT 2021	-1	0		975	243 KB	linear	urn:local:.:olx-dxz06zn
aes_2.aln	783771	851	66.2%	99.7%	100.0%	Tue Oct 05 22:13:08 EDT 2021	Tue Oct 05 22:13:08 EDT 2021	Alignment of 851 sequences	true	921	851.0	921	Wed Oct 06 07:29:13 EDT 2021	-1	0		921	232 KB	linear	urn:local:.:oly-dxz06zn
aes_2~~~nlhH_1~~~aes_1.aln	574425	851	69.0%	99.7%	100.0%	Tue Oct 05 22:13:08 EDT 2021	Tue Oct 05 22:13:08 EDT 2021	Alignment of 851 sequences	true	675	851.0	675	Wed Oct 06 07:29:13 EDT 2021	-1	0		675	180 KB	linear	urn:local:.:olz-dxz06zn
