qseqid,sseqid,pident,length,mismatch,gapopen,qstart,qend,sstart,send,evalue,bitscore
rmlA,NC_002945.4,100,867,0,0,1,867,399688,400554,0,1602
group_745,NC_002945.4,100,435,0,0,1,435,399224,399658,0,804
group_677,NC_002945.4,100,786,0,0,1,786,398472,399257,0,1452
group_1002,NC_002945.4,100,741,0,0,1,741,397117,396377,0,1369
group_1642,NC_002945.4,100,627,0,0,1,627,396350,395724,0,1158
betI_1,NC_002945.4,100,603,0,0,1,603,395141,395743,0,1114
group_1294,NC_002945.4,100,690,0,0,1,690,393069,393758,0,1275
group_1334,NC_002945.4,100,681,0,0,1,681,392382,393062,0,1258
mshB_1,NC_002945.4,100,672,0,0,1,672,392281,391610,0,1242
dcd,NC_002945.4,100,573,0,0,1,573,389612,390184,0,1059
pcp,NC_002945.4,100,669,0,0,1,669,388178,388846,0,1236
group_758,NC_002945.4,100,777,0,0,1,777,388111,387335,0,1435
ugpQ,NC_002945.4,100,738,0,0,1,738,386940,386203,0,1363
group_1726,NC_002945.4,100,615,0,0,1,615,385565,386179,0,1136
group_1276,NC_002945.4,100,387,0,0,1,387,383520,383906,0,715
hscA,NC_002945.4,100,1863,0,0,1,1863,381586,383448,0,3441
baiE,NC_002945.4,99.797,492,1,0,1,492,380178,379687,0,904
group_1465,NC_002945.4,100,657,0,0,1,657,378961,379617,0,1214
group_1164,NC_002945.4,100,717,0,0,1,717,378143,378859,0,1325
group_229,NC_002945.4,100,483,0,0,1,483,378085,377603,0,893
vapC2,NC_002945.4,100,426,0,0,1,426,365091,365516,0,787
vapB2,NC_002945.4,100,222,0,0,1,222,364873,365094,1.57E-115,411
tam,NC_002945.4,100,786,0,0,1,786,359173,359958,0,1452
eccE3,NC_002945.4,100,996,0,0,1,996,356882,357877,0,1840
mycP3,NC_002945.4,100,1386,0,0,1,1386,355500,356885,0,2560
esxH,NC_002945.4,100,291,0,0,1,291,352850,353140,9.26E-154,538
esxG,NC_002945.4,100,294,0,0,1,294,352527,352820,2.01E-155,544
PE5_1,NC_002945.4,100,309,0,0,1,309,350626,350934,9.74E-164,571
eccC3,NC_002945.4,100,3993,0,0,1,3993,346637,350629,0,7374
eccA3,NC_002945.4,100,1896,0,0,1,1896,343132,345027,0,3502
group_170,NC_002945.4,100,261,0,0,1,261,340109,340369,3.91E-137,483
group_170,NC_002945.4,100,36,0,0,1,36,337364,337399,4.67E-12,67.6
group_1038,NC_002945.4,100,735,0,0,1,735,329992,329258,0,1358
group_1681,NC_002945.4,100,621,0,0,1,621,328650,328030,0,1147
group_417,NC_002945.4,99.954,2196,1,0,1,2196,326786,324591,0,4050
group_204,NC_002945.4,100,258,0,0,1,258,321346,321089,1.80E-135,477
narK_1,NC_002945.4,100,1392,0,0,1,1392,319656,321047,0,2571
pxpB,NC_002945.4,100,654,0,0,1,654,314761,314108,0,1208
group_1830,NC_002945.4,100,1146,0,0,1,1146,310984,309839,0,2117
group_984,NC_002945.4,100,744,0,0,1,744,309842,309099,0,1375
cobU,NC_002945.4,100,525,0,0,1,525,304674,304150,0,970
nirD,NC_002945.4,100,357,0,0,1,357,303778,304134,0,660
group_255,NC_002945.4,100,480,0,0,1,480,300977,300498,0,887
group_2021,NC_002945.4,100,294,0,0,1,294,300353,300060,2.01E-155,544
group_463,NC_002945.4,100,822,0,0,1,822,299980,299159,0,1519
frdB,NC_002945.4,100,747,0,0,1,747,297187,296441,0,1380
group_1484,NC_002945.4,99.924,1311,1,0,1,1311,295134,296444,0,2416
group_689,NC_002945.4,99.674,1842,0,1,1,1842,293958,292123,0,3363
fadI,NC_002945.4,100,1323,0,0,1,1323,290495,291817,0,2444
hcaB_1,NC_002945.4,100,1365,0,0,1,1365,290353,288989,0,2521
group_702,NC_002945.4,100,438,0,0,1,438,287669,288106,0,809
group_655,NC_002945.4,100,234,0,0,1,234,287428,287661,3.55E-122,433
group_1945,NC_002945.4,100,567,0,0,1,567,286800,287366,0,1048
group_1450,NC_002945.4,100,174,0,0,1,174,285395,285222,5.79E-89,322
aftD,NC_002945.4,100,4203,0,0,1,4203,285175,280973,0,7762
nrdB,NC_002945.4,100,945,0,0,1,945,276909,277853,0,1746
group_1288,NC_002945.4,99.567,693,0,1,1,693,276223,276912,0,1260
group_1262,NC_002945.4,100,195,0,0,1,195,273228,273034,1.39E-100,361
group_1004,NC_002945.4,100,414,0,0,1,414,273043,272630,0,765
porA,NC_002945.4,100,1281,0,0,1,1281,271178,269898,0,2366
group_837,NC_002945.4,100,1731,0,0,1,1731,269888,268158,0,3197
mshA_1,NC_002945.4,100,1155,0,0,1,1155,266987,268141,0,2134
group_854,NC_002945.4,100,765,0,0,1,765,266951,266187,0,1413
group_775,NC_002945.4,100,774,0,0,1,774,264292,265065,0,1430
group_2007,NC_002945.4,100,549,0,0,1,549,262479,263027,0,1014
group_1150,NC_002945.4,100,1518,0,0,1,1518,256356,257873,0,2804
pckG,NC_002945.4,100,1821,0,0,1,1821,251978,253798,0,3363
trmB,NC_002945.4,100,594,0,0,1,594,248904,248311,0,1098
group_2017,NC_002945.4,100,735,0,0,1,735,248314,247580,0,1358
group_1885,NC_002945.4,100,1104,0,0,1,1104,243580,244683,0,2039
group_1534,NC_002945.4,100,1284,0,0,1,1284,243455,242172,0,2372
group_1026,NC_002945.4,99.516,413,0,2,1,413,241710,242120,0,750
group_52,NC_002945.4,100,504,0,0,1,504,238591,238088,0,931
group_1191,NC_002945.4,100,690,0,0,1,690,237402,238091,0,1275
napA,NC_002945.4,100,2247,0,0,1,2247,232425,234671,0,4150
group_1868,NC_002945.4,99.829,585,1,0,1,585,231841,232425,0,1075
group_1614,NC_002945.4,99.919,1242,1,0,1,1242,222481,223722,0,2289
ricR,NC_002945.4,100,291,0,0,1,291,222063,222353,9.26E-154,538
group_30,NC_002945.4,100,510,0,0,1,510,215907,216416,0,942
group_1039,NC_002945.4,100,735,0,0,1,735,213203,212469,0,1358
group_1380,NC_002945.4,100,1359,0,0,1,1359,212442,211084,0,2510
group_1040,NC_002945.4,100,735,0,0,1,735,209130,209864,0,1358
group_1987,NC_002945.4,100,555,0,0,1,555,208609,209163,0,1026
group_2066,NC_002945.4,100,969,0,0,1,969,207644,208612,0,1790
lprN_1,NC_002945.4,100,1173,0,0,1,1173,204257,205429,0,2167
group_1015,NC_002945.4,100,1593,0,0,1,1593,202668,204260,0,2942
group_1085,NC_002945.4,99.871,1548,2,0,1,1548,201124,202671,0,2848
group_1979,NC_002945.4,100,1041,0,0,1,1041,200087,201127,0,1923
group_187,NC_002945.4,100,870,0,0,1,870,197852,198721,0,1607
group_187,NC_002945.4,81.325,755,133,8,120,870,687308,688058,7.86E-174,606
group_922,NC_002945.4,100,441,0,0,1,441,193861,194301,0,815
group_108,NC_002945.4,100,456,0,0,1,456,193307,193762,0,843
PE3_1,NC_002945.4,100,1509,0,0,1,1509,190629,189121,0,2787
kstR2_1,NC_002945.4,100,645,0,0,1,645,186975,187619,0,1192
group_1835,NC_002945.4,100,126,0,0,1,126,186810,186685,1.92E-62,233
pntB,NC_002945.4,100,1428,0,0,1,1428,185242,186669,0,2638
group_1795,NC_002945.4,100,333,0,0,1,333,184913,185245,4.81E-177,616
pntAA,NC_002945.4,100,1101,0,0,1,1101,183812,184912,0,2034
caiA_1,NC_002945.4,100,1212,0,0,1,1212,183388,182177,0,2239
group_392,NC_002945.4,100,831,0,0,1,831,182175,181345,0,1535
group_843,NC_002945.4,100,225,0,0,1,225,181219,180995,3.42E-117,416
group_2048,NC_002945.4,100,288,0,0,1,288,177142,176855,4.26E-152,532
group_244,NC_002945.4,100,861,0,0,1,861,175023,175883,0,1591
group_8,NC_002945.4,100,933,0,0,1,933,172401,173333,0,1724
group_339,NC_002945.4,100,843,0,0,1,843,170474,171316,0,1557
group_1027,NC_002945.4,100,411,0,0,1,411,167871,167461,0,760
group_1322,NC_002945.4,100,381,0,0,1,381,167100,167480,0,704
group_53,NC_002945.4,99.802,504,1,0,1,504,165513,166016,0,926
msrA,NC_002945.4,100,549,0,0,1,549,165450,164902,0,1014
group_1788,NC_002945.4,100,606,0,0,1,606,163439,162834,0,1120
fgd2,NC_002945.4,99.908,1083,1,0,1,1083,160973,159891,0,1995
group_499,NC_002945.4,100,456,0,0,1,456,158038,158493,0,843
fbpC,NC_002945.4,100,1023,0,0,1,1023,157791,156769,0,1890
mak,NC_002945.4,100,1368,0,0,1,1368,154423,155790,0,2527
group_1424,NC_002945.4,100,369,0,0,1,369,148894,149262,0,682
group_1358,NC_002945.4,100,183,0,0,1,183,148715,148897,6.09E-94,339
group_746,NC_002945.4,100,435,0,0,1,435,148380,147946,0,804
oxc,NC_002945.4,100,1749,0,0,1,1749,143916,142168,0,3230
oxyR,NC_002945.4,100,945,0,0,1,945,141240,142184,0,1746
group_1314,NC_002945.4,100,189,0,0,1,189,139996,140184,2.90E-97,350
rmd,NC_002945.4,100,957,0,0,1,957,136327,137283,0,1768
group_488,NC_002945.4,100,243,0,0,1,243,131174,130932,3.67E-127,449
group_1735,NC_002945.4,100,1197,0,0,1,1197,124410,125606,0,2211
group_2068,NC_002945.4,100,285,0,0,1,285,124300,124016,1.96E-150,527
ctpB,NC_002945.4,100,2259,0,0,1,2259,122209,119951,0,4172
ctpB,NC_002945.4,76.394,538,115,10,1718,2249,102308,102839,5.13E-75,279
ctpB,NC_002945.4,76.364,165,33,6,1188,1349,1080439,1080600,4.32E-16,84.2
dltA,NC_002945.4,100,7539,0,0,1,7539,110037,117575,0,13923
dltA,NC_002945.4,76.304,882,191,16,6226,7095,2891938,2892813,2.67E-127,455
group_376,NC_002945.4,100,249,0,0,1,249,109807,110055,1.74E-130,460
group_1013,NC_002945.4,100,1599,0,0,1,1599,108216,109814,0,2953
group_1998,NC_002945.4,100,552,0,0,1,552,107636,108187,0,1020
group_1337,NC_002945.4,100,1392,0,0,1,1392,105360,106751,0,2571
nagR,NC_002945.4,100,810,0,0,1,810,888836,888027,0,1496
group_1969,NC_002945.4,99.904,1044,1,0,1,1044,888030,886987,0,1923
group_312,NC_002945.4,100,474,0,0,1,474,886114,885641,0,876
purQ,NC_002945.4,100,675,0,0,1,675,884950,885624,0,1247
purS,NC_002945.4,100,240,0,0,1,240,884714,884953,1.68E-125,444
group_1308,NC_002945.4,100,687,0,0,1,687,880829,881515,0,1269
mdtD_1,NC_002945.4,100,1623,0,0,1,1623,880631,879009,0,2998
group_1569,NC_002945.4,100,162,0,0,1,162,878694,878533,2.50E-82,300
purC,NC_002945.4,100,894,0,0,1,894,875532,876425,0,1652
purB,NC_002945.4,100,1419,0,0,1,1419,872197,873615,0,2621
group_734,NC_002945.4,100,780,0,0,1,780,871952,871173,0,1441
group_1917,NC_002945.4,100,573,0,0,1,573,870647,871219,0,1059
ywrD,NC_002945.4,100,1584,0,0,1,1584,869623,868040,0,2926
purD,NC_002945.4,100,1269,0,0,1,1269,866775,868043,0,2344
group_790,NC_002945.4,100,432,0,0,1,432,866332,866763,0,798
group_125,NC_002945.4,99.887,888,1,0,1,888,865445,866332,0,1635
group_969,NC_002945.4,100,747,0,0,1,747,864601,865347,0,1380
group_1552,NC_002945.4,100,642,0,0,1,642,862899,862258,0,1186
group_1705,NC_002945.4,100,1209,0,0,1,1209,862261,861053,0,2233
dhbA,NC_002945.4,100,828,0,0,1,828,861053,860226,0,1530
group_2015,NC_002945.4,100,546,0,0,1,546,858659,858114,0,1009
adhB_2,NC_002945.4,100,1128,0,0,1,1128,858015,856888,0,2084
group_943,NC_002945.4,100,420,0,0,1,420,856875,856456,0,776
tcrY_1,NC_002945.4,100,1458,0,0,1,1458,854586,856043,0,2693
group_1097,NC_002945.4,100,726,0,0,1,726,853656,852931,0,1341
group_1493,NC_002945.4,100,171,0,0,1,171,852702,852532,2.64E-87,316
group_580,NC_002945.4,100,1938,0,0,1,1938,852230,850293,0,3579
group_580,NC_002945.4,73.148,432,102,14,77,501,2906987,2907411,6.02E-34,143
acdA,NC_002945.4,100,1173,0,0,1,1173,846604,845432,0,2167
group_1789,NC_002945.4,100,138,0,0,1,138,844064,843927,4.56E-69,255
group_831,NC_002945.4,100,429,0,0,1,429,843418,843846,0,793
group_831,NC_002945.4,93.473,429,28,0,1,429,331461,331033,0,638
mmsB_2,NC_002945.4,100,147,0,0,1,147,837029,836883,4.88E-74,272
mmsB_2,NC_002945.4,84.722,144,21,1,1,144,832588,832446,3.99E-35,143
group_1976,NC_002945.4,100,558,0,0,1,558,836267,835710,0,1031
group_1890,NC_002945.4,100,315,0,0,1,315,834358,834672,4.59E-167,582
group_1890,NC_002945.4,85.079,315,47,0,1,315,1470941,1470627,1.11E-88,322
group_1890,NC_002945.4,85.079,315,47,0,1,315,4194709,4195023,1.11E-88,322
group_1772,NC_002945.4,100,609,0,0,1,609,833519,834127,0,1125
group_1772,NC_002945.4,94.981,259,13,0,351,609,844210,844468,5.92E-114,407
group_298,NC_002945.4,99.882,849,1,0,1,849,832637,833485,0,1563
group_298,NC_002945.4,90.698,86,8,0,363,448,844118,844203,5.66E-26,115
group_2045,NC_002945.4,100,537,0,0,1,537,831896,832432,0,992
group_1925,NC_002945.4,100,570,0,0,1,570,830957,831526,0,1053
map1,NC_002945.4,100,801,0,0,1,801,828492,829292,0,1480
adk,NC_002945.4,99.817,546,1,0,1,546,827944,828489,0,1003
secY,NC_002945.4,100,1326,0,0,1,1326,826622,827947,0,2449
group_1886,NC_002945.4,100,1104,0,0,1,1104,821462,820359,0,2039
group_59,NC_002945.4,100,906,0,0,1,906,820266,819361,0,1674
group_648,NC_002945.4,100,1872,0,0,1,1872,817485,819356,0,3458
rplO,NC_002945.4,100,441,0,0,1,441,817012,817452,0,815
rpmD,NC_002945.4,100,198,0,0,1,198,816815,817012,3.03E-102,366
rpsE,NC_002945.4,100,663,0,0,1,663,816150,816812,0,1225
rplR,NC_002945.4,100,369,0,0,1,369,815762,816130,0,682
rplF,NC_002945.4,100,540,0,0,1,540,815220,815759,0,998
rpsH,NC_002945.4,100,399,0,0,1,399,814798,815196,0,737
rpsZ,NC_002945.4,100,186,0,0,1,186,814449,814634,1.33E-95,344
rplE,NC_002945.4,100,564,0,0,1,564,813881,814444,0,1042
rplX,NC_002945.4,100,318,0,0,1,318,813564,813881,9.97E-169,588
rplN,NC_002945.4,100,369,0,0,1,369,813195,813563,0,682
group_85,NC_002945.4,100,900,0,0,1,900,810568,811467,0,1663
rpsQ,NC_002945.4,100,408,0,0,1,408,807581,807988,0,754
rpmC,NC_002945.4,100,234,0,0,1,234,807348,807581,3.55E-122,433
rplP,NC_002945.4,100,417,0,0,1,417,806932,807348,0,771
rpsC,NC_002945.4,100,825,0,0,1,825,806104,806928,0,1524
rpsS,NC_002945.4,100,282,0,0,1,282,805233,805514,9.01E-149,521
rplB,NC_002945.4,99.881,843,1,0,1,843,804350,805192,0,1552
rplW,NC_002945.4,100,303,0,0,1,303,803901,804203,2.06E-160,560
rplD,NC_002945.4,100,672,0,0,1,672,803230,803901,0,1242
rplC,NC_002945.4,100,654,0,0,1,654,802577,803230,0,1208
rpsJ,NC_002945.4,99.673,306,1,0,1,306,802255,802560,2.09E-160,560
group_915,NC_002945.4,100,756,0,0,1,756,801032,801787,0,1397
betA,NC_002945.4,100,1359,0,0,1,1359,798783,800141,0,2510
